;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;encoded_label
index__concept:name_1_ER Triage;0.053;-0.014;0.043;-0.013;-0.051;0.022;-0.03;-0.058;-0.009;0.063;0.018;-0.016;0.241;0.066;-0.629;0.122;0.272;-0.629;0.13;0.224;-0.629;0.118;0.298;-0.629;0.112;0.266;-0.629;0.587;-0.587;0.611;-0.611;0.499;0.041;-0.629;0.14;0.149;-0.629;0.118;0.173;-0.629;0.127;0.239;-0.629;0.469;-0.028;-0.629;0.444;0.014;-0.629;0.555;-0.005;-0.629;0.118;0.298;-0.629;0.133;0.249;-0.629;0.519;0.015;-0.629;0.111;0.257;-0.629;0.429;0.067;-0.629;0.146;0.155;-0.629;0.078;0.287;-0.629;0.115;0.305;-0.629;-0.4;0.629;-0.209;-0.187;-0.326;-0.187;-0.521;-0.464;-0.248;1.0;-0.093;-0.433;-0.093;-0.377;0.134;-0.377;0.649;-0.637;-0.132;-0.044;-0.493;-0.187;0.366;-0.132;-0.519;-0.433;-0.013;0.129;0.123;-0.348;0.04;-0.082;-0.304;-0.521;-0.081;-0.052;0.31;0.16;0.052;-0.177;-0.167;-0.093;-0.116;-0.042;-0.069;0.303;0.024;0.334;-0.444;-0.187;-0.011;-0.697;-0.66;1.0;-0.093;0.468;-0.178;-0.637;0.056;-0.157;0.296;-0.433;0.024;-0.237;0.459;-0.521;0.02;0.014;-0.044;0.014;0.014;0.024;-0.171;0.16;-0.093;0.02;0.024;0.044;0.002;0.02;0.028;0.014;-0.185;0.024;-0.056;0.024;0.034;-0.056;0.02;0.014;0.02;-0.071
index__concept:name_1_IV Antibiotics;-0.012;-0.017;-0.006;-0.011;-0.008;-0.009;-0.006;-0.004;-0.005;-0.006;-0.005;0.045;-0.05;-0.023;0.148;-0.014;-0.077;0.148;-0.017;-0.065;0.148;-0.012;-0.083;0.148;-0.015;-0.073;0.148;-0.14;0.14;-0.141;0.141;-0.12;-0.006;0.148;-0.033;-0.035;0.148;-0.031;-0.038;0.148;-0.016;-0.069;0.148;-0.098;-0.009;0.148;-0.1;-0.009;0.148;-0.128;-0.005;0.148;-0.012;-0.083;0.148;-0.015;-0.073;0.148;-0.121;-0.006;0.148;-0.015;-0.07;0.148;-0.107;-0.008;0.148;-0.026;-0.045;0.148;-0.015;-0.07;0.148;-0.012;-0.084;0.148;-0.006;-0.148;0.446;-0.003;-0.005;-0.003;-0.007;-0.006;-0.003;-0.093;1.0;-0.006;-0.001;-0.005;-0.012;-0.005;-0.065;-0.009;-0.002;0.376;-0.007;-0.003;-0.04;0.707;-0.008;-0.006;-0.007;-0.018;-0.011;-0.009;-0.004;-0.015;-0.007;0.179;-0.012;-0.005;-0.035;-0.016;-0.009;0.094;-0.013;-0.001;-0.004;-0.006;-0.015;-0.035;-0.002;0.011;-0.006;-0.003;-0.008;0.134;-0.009;-0.093;-0.001;0.02;-0.015;-0.009;-0.007;0.062;-0.055;-0.006;-0.005;-0.015;-0.072;0.179;-0.002;-0.001;-0.003;-0.001;-0.001;-0.002;-0.016;0.02;-0.001;-0.002;-0.002;-0.004;-0.004;-0.002;-0.003;-0.001;-0.003;-0.002;-0.002;-0.002;-0.003;-0.002;-0.002;-0.001;-0.002;-0.014
index__concept:name_1_IV Liquid;-0.056;0.104;0.019;0.038;0.034;-0.011;-0.028;-0.019;-0.022;-0.027;-0.021;-0.052;0.071;-0.054;-0.041;-0.039;0.058;-0.041;-0.057;0.074;-0.041;-0.057;0.073;-0.041;-0.068;0.083;-0.041;0.043;-0.043;0.043;-0.043;0.051;-0.028;-0.041;-0.043;0.062;-0.041;-0.03;0.048;-0.041;-0.03;0.049;-0.041;-0.013;0.056;-0.041;0.01;0.026;-0.041;0.017;0.037;-0.041;-0.057;0.073;-0.041;-0.067;0.083;-0.041;0.05;-0.027;-0.041;-0.027;0.047;-0.041;0.057;-0.037;-0.041;-0.002;0.021;-0.041;-0.049;0.066;-0.041;-0.056;0.072;-0.041;-0.026;0.041;-0.014;-0.012;-0.021;-0.012;-0.034;-0.03;-0.016;-0.433;-0.006;1.0;-0.006;-0.024;-0.058;-0.024;-0.263;0.611;-0.009;-0.016;-0.032;-0.012;-0.121;-0.009;0.546;-0.028;0.057;-0.082;-0.053;-0.042;-0.017;0.106;-0.032;0.049;0.133;-0.024;-0.097;-0.074;-0.043;0.151;-0.062;-0.006;-0.02;-0.03;0.088;-0.085;-0.01;0.049;-0.029;-0.012;-0.036;0.622;-0.043;-0.433;-0.006;-0.259;-0.07;0.611;-0.033;0.214;-0.187;-0.028;-0.023;0.09;-0.094;0.049;-0.009;-0.006;-0.016;-0.006;-0.006;-0.01;-0.073;0.093;-0.006;-0.009;-0.01;-0.019;-0.017;-0.009;-0.012;-0.006;-0.015;-0.01;-0.009;-0.01;-0.015;-0.009;-0.009;-0.006;-0.009;0.007
index__concept:name_1_LacticAcid;-0.012;-0.017;-0.006;-0.011;-0.008;-0.009;-0.006;-0.004;0.275;-0.006;-0.005;-0.029;-0.05;-0.023;0.148;-0.014;-0.077;0.148;-0.017;-0.065;0.148;-0.012;-0.083;0.148;-0.015;-0.073;0.148;-0.14;0.14;-0.141;0.141;-0.12;-0.006;0.148;-0.033;-0.035;0.148;-0.031;-0.038;0.148;-0.016;-0.069;0.148;-0.098;-0.009;0.148;-0.1;-0.009;0.148;-0.128;-0.005;0.148;-0.012;-0.083;0.148;-0.015;-0.073;0.148;-0.121;-0.006;0.148;-0.015;-0.07;0.148;-0.107;-0.008;0.148;-0.026;-0.045;0.148;-0.015;-0.07;0.148;-0.012;-0.084;0.148;0.233;-0.148;-0.003;-0.003;-0.005;-0.003;-0.007;-0.006;-0.003;-0.093;-0.001;-0.006;1.0;-0.005;-0.012;-0.005;-0.065;-0.009;-0.002;-0.003;-0.007;0.499;-0.04;0.707;-0.008;-0.006;-0.007;-0.018;-0.011;-0.009;-0.004;-0.015;-0.007;0.179;-0.012;-0.005;-0.035;-0.016;-0.009;-0.014;0.098;-0.001;-0.004;-0.006;-0.015;-0.035;-0.002;-0.124;0.21;-0.003;-0.008;-0.01;0.141;-0.093;-0.001;-0.064;0.087;-0.009;-0.007;0.062;-0.055;-0.006;-0.005;-0.015;-0.072;0.179;-0.002;-0.001;-0.003;-0.001;-0.001;-0.002;0.083;-0.065;-0.001;-0.002;-0.002;-0.004;-0.004;-0.002;-0.003;-0.001;-0.003;-0.002;-0.002;-0.002;-0.003;-0.002;-0.002;-0.001;-0.002;-0.014
index__concept:name_1_Leucocytes;-0.049;-0.07;-0.025;-0.01;-0.034;-0.038;0.031;-0.017;-0.019;-0.024;-0.018;0.145;-0.202;-0.093;0.599;-0.055;-0.312;0.599;-0.068;-0.264;0.599;-0.049;-0.336;0.599;-0.059;-0.295;0.599;-0.565;0.565;-0.571;0.571;-0.484;-0.024;0.599;-0.135;-0.141;0.599;-0.124;-0.153;0.599;-0.064;-0.278;0.599;-0.398;-0.038;0.599;-0.405;-0.036;0.599;-0.515;-0.02;0.599;-0.049;-0.336;0.599;-0.059;-0.296;0.599;-0.488;-0.024;0.599;-0.062;-0.283;0.599;-0.431;-0.032;0.599;-0.104;-0.181;0.599;-0.062;-0.284;0.599;-0.048;-0.341;0.599;0.942;-0.599;-0.012;-0.011;-0.018;-0.011;-0.029;-0.026;-0.014;-0.377;-0.005;-0.024;-0.005;1.0;-0.05;1.0;-0.262;-0.036;-0.007;-0.014;-0.028;-0.011;-0.162;-0.007;-0.031;0.87;-0.027;-0.071;-0.046;-0.036;-0.015;-0.037;0.715;-0.029;-0.048;-0.021;-0.14;-0.064;0.075;0.081;-0.054;-0.005;0.213;0.183;-0.035;-0.143;-0.009;-0.501;0.849;-0.011;-0.031;-0.039;0.571;-0.377;-0.005;0.061;-0.061;-0.036;0.019;-0.085;-0.223;0.87;-0.02;0.303;-0.266;-0.029;-0.007;-0.005;0.082;-0.005;-0.005;-0.009;0.086;-0.135;-0.005;-0.007;-0.009;-0.017;0.075;-0.007;-0.011;-0.005;0.091;-0.009;0.171;-0.009;-0.013;0.171;-0.007;-0.005;-0.007;0.053
index__concept:name_2_CRP;0.051;-0.046;0.016;0.021;-0.022;-0.039;-0.032;-0.003;0.02;0.049;0.058;-0.008;-0.016;0.06;-0.084;0.037;0.019;-0.084;0.015;0.032;-0.084;0.022;0.035;-0.084;0.03;0.023;-0.084;0.072;-0.072;0.088;-0.088;0.058;0.02;-0.084;0.052;-0.014;-0.084;0.047;-0.008;-0.084;-0.002;0.048;-0.084;0.048;0.015;-0.084;0.085;-0.032;-0.084;0.066;0.016;-0.084;0.036;0.023;-0.084;0.031;0.021;-0.084;0.057;0.023;-0.084;0.028;0.023;-0.084;0.034;0.043;-0.084;-0.042;0.081;-0.084;0.1;-0.041;-0.084;0.027;0.032;-0.084;-0.054;0.084;-0.028;-0.025;-0.044;-0.025;-0.07;-0.062;-0.033;0.134;-0.012;-0.058;-0.012;-0.05;1.0;-0.05;-0.62;-0.085;-0.018;-0.033;-0.066;-0.025;-0.383;-0.018;-0.074;-0.058;-0.065;-0.168;0.916;0.129;0.006;-0.147;0.14;-0.07;-0.114;-0.05;-0.316;0.647;0.015;-0.132;0.729;-0.012;-0.006;0.156;-0.144;-0.339;-0.022;0.085;-0.059;-0.025;-0.054;-0.093;-0.088;0.134;-0.012;-0.612;0.832;-0.085;-0.068;-0.202;0.226;-0.058;-0.047;-0.034;0.07;-0.07;0.065;-0.012;-0.033;-0.012;-0.012;-0.022;0.715;-0.625;-0.012;-0.018;-0.022;0.072;-0.035;-0.018;-0.025;-0.012;0.017;-0.022;-0.018;-0.022;0.017;-0.018;0.065;-0.012;0.065;-0.058
index__concept:name_2_ER Registration;-0.049;-0.07;-0.025;-0.01;-0.034;-0.038;0.031;-0.017;-0.019;-0.024;-0.018;0.145;-0.202;-0.093;0.599;-0.055;-0.312;0.599;-0.068;-0.264;0.599;-0.049;-0.336;0.599;-0.059;-0.295;0.599;-0.565;0.565;-0.571;0.571;-0.484;-0.024;0.599;-0.135;-0.141;0.599;-0.124;-0.153;0.599;-0.064;-0.278;0.599;-0.398;-0.038;0.599;-0.405;-0.036;0.599;-0.515;-0.02;0.599;-0.049;-0.336;0.599;-0.059;-0.296;0.599;-0.488;-0.024;0.599;-0.062;-0.283;0.599;-0.431;-0.032;0.599;-0.104;-0.181;0.599;-0.062;-0.284;0.599;-0.048;-0.341;0.599;0.942;-0.599;-0.012;-0.011;-0.018;-0.011;-0.029;-0.026;-0.014;-0.377;-0.005;-0.024;-0.005;1.0;-0.05;1.0;-0.262;-0.036;-0.007;-0.014;-0.028;-0.011;-0.162;-0.007;-0.031;0.87;-0.027;-0.071;-0.046;-0.036;-0.015;-0.037;0.715;-0.029;-0.048;-0.021;-0.14;-0.064;0.075;0.081;-0.054;-0.005;0.213;0.183;-0.035;-0.143;-0.009;-0.501;0.849;-0.011;-0.031;-0.039;0.571;-0.377;-0.005;0.061;-0.061;-0.036;0.019;-0.085;-0.223;0.87;-0.02;0.303;-0.266;-0.029;-0.007;-0.005;0.082;-0.005;-0.005;-0.009;0.086;-0.135;-0.005;-0.007;-0.009;-0.017;0.075;-0.007;-0.011;-0.005;0.091;-0.009;0.171;-0.009;-0.013;0.171;-0.007;-0.005;-0.007;0.053
index__concept:name_2_ER Sepsis Triage;0.015;0.023;0.022;-0.026;-0.025;0.02;-0.0;-0.044;0.002;0.014;-0.004;-0.013;0.196;-0.004;-0.397;0.07;0.178;-0.397;0.092;0.133;-0.397;0.078;0.185;-0.397;0.067;0.171;-0.397;0.375;-0.375;0.381;-0.381;0.342;-0.019;-0.397;0.061;0.122;-0.397;0.053;0.13;-0.397;0.101;0.131;-0.397;0.326;-0.059;-0.397;0.271;0.022;-0.397;0.356;-0.016;-0.397;0.068;0.193;-0.397;0.083;0.158;-0.397;0.347;-0.024;-0.397;0.076;0.157;-0.397;0.295;0.008;-0.397;0.146;0.045;-0.397;-0.011;0.234;-0.397;0.072;0.193;-0.397;-0.278;0.397;-0.145;-0.002;-0.226;-0.13;-0.362;-0.269;-0.172;0.649;-0.065;-0.263;-0.065;-0.262;-0.62;-0.262;1.0;-0.442;-0.092;-0.172;-0.343;-0.13;0.556;-0.092;-0.386;-0.301;0.07;0.24;-0.568;-0.369;0.027;0.025;-0.343;-0.33;0.039;-0.004;0.462;-0.343;0.03;-0.007;-0.662;-0.065;-0.087;-0.146;0.033;0.474;0.035;0.169;-0.308;-0.002;0.031;-0.423;-0.458;0.649;-0.065;0.814;-0.745;-0.442;0.094;0.037;0.057;-0.301;0.053;-0.145;0.282;-0.33;-0.032;0.02;-0.011;0.02;0.02;0.035;-0.654;0.581;-0.065;0.028;0.035;-0.017;0.027;0.028;0.04;0.02;-0.159;0.035;-0.032;0.035;0.015;-0.032;-0.032;0.02;-0.032;-0.014
index__concept:name_2_ER Triage;-0.046;0.04;-0.009;-0.011;0.122;-0.019;-0.041;0.071;-0.032;-0.04;-0.031;-0.013;-0.128;-0.095;0.452;-0.076;-0.206;0.452;-0.1;-0.155;0.452;-0.083;-0.215;0.452;-0.084;-0.188;0.452;-0.422;0.422;-0.451;0.451;-0.372;-0.007;0.452;-0.127;-0.081;0.452;-0.119;-0.09;0.452;-0.077;-0.184;0.452;-0.343;0.029;0.452;-0.333;0.01;0.452;-0.4;0.008;0.452;-0.083;-0.215;0.452;-0.099;-0.175;0.452;-0.375;-0.005;0.452;-0.089;-0.176;0.452;-0.304;-0.055;0.452;-0.093;-0.122;0.452;-0.073;-0.191;0.452;-0.082;-0.22;0.452;-0.001;-0.452;0.259;-0.018;0.511;0.294;-0.05;0.632;0.212;-0.637;-0.009;0.611;-0.009;-0.036;-0.085;-0.036;-0.442;1.0;-0.013;-0.024;-0.047;-0.018;-0.194;-0.013;0.819;-0.041;-0.015;-0.063;-0.078;-0.062;-0.025;0.206;-0.047;-0.05;0.183;0.082;-0.159;-0.109;-0.064;0.191;-0.091;-0.009;0.017;-0.044;0.166;-0.141;-0.015;-0.053;0.126;-0.018;-0.026;0.892;-0.063;-0.637;0.146;-0.436;-0.102;1.0;-0.049;0.32;-0.291;-0.041;0.008;0.17;-0.112;-0.05;-0.013;-0.009;-0.024;-0.009;-0.009;-0.015;-0.092;0.123;-0.009;-0.013;-0.015;-0.028;-0.025;-0.013;-0.018;-0.009;-0.022;-0.015;-0.013;-0.015;-0.022;-0.013;-0.013;-0.009;-0.013;0.072
index__concept:name_2_IV Antibiotics;-0.017;0.041;-0.009;-0.015;-0.012;0.091;-0.009;-0.006;-0.007;-0.008;-0.006;-0.041;-0.071;0.08;-0.012;-0.019;0.024;-0.012;-0.024;0.028;-0.012;-0.017;0.022;-0.012;-0.021;0.025;-0.012;0.013;-0.013;0.013;-0.013;0.015;-0.009;-0.012;0.004;0.002;-0.012;0.06;-0.054;-0.012;-0.022;0.027;-0.012;0.019;-0.013;-0.012;0.018;-0.013;-0.012;0.014;-0.007;-0.012;-0.017;0.022;-0.012;-0.021;0.025;-0.012;0.015;-0.008;-0.012;-0.022;0.026;-0.012;0.017;-0.011;-0.012;-0.037;0.041;-0.012;0.049;-0.037;-0.012;-0.017;0.022;-0.012;-0.008;0.012;-0.004;-0.004;-0.006;-0.004;-0.01;-0.009;0.533;-0.132;-0.002;-0.009;-0.002;-0.007;-0.018;-0.007;-0.092;-0.013;1.0;-0.005;-0.01;-0.004;-0.057;-0.003;-0.011;0.305;-0.01;-0.025;-0.016;-0.013;-0.005;0.12;-0.01;-0.01;-0.017;-0.007;-0.049;-0.023;-0.013;-0.02;-0.019;-0.002;-0.006;-0.009;0.123;-0.05;-0.003;0.015;-0.009;-0.004;-0.011;0.19;-0.013;-0.132;-0.002;0.029;-0.021;-0.013;-0.01;-0.03;-0.078;0.305;-0.007;-0.021;0.026;-0.01;-0.003;-0.002;-0.005;-0.002;-0.002;-0.003;-0.022;0.028;-0.002;-0.003;-0.003;-0.006;-0.005;-0.003;-0.004;-0.002;-0.005;-0.003;-0.003;-0.003;-0.005;-0.003;-0.003;-0.002;-0.003;-0.02
index__concept:name_2_IV Liquid;-0.032;0.06;-0.016;-0.028;-0.022;0.087;-0.016;-0.011;-0.013;-0.016;-0.012;-0.02;-0.017;-0.0;0.036;-0.036;0.009;0.036;-0.045;0.021;0.036;-0.032;0.004;0.036;-0.039;0.013;0.036;-0.032;0.032;-0.033;0.033;-0.12;0.152;0.036;-0.006;-0.01;0.036;-0.026;0.009;0.036;-0.042;0.017;0.036;-0.092;0.088;0.036;-0.052;0.034;0.036;-0.025;-0.013;0.036;-0.032;0.004;0.036;-0.039;0.013;0.036;-0.071;0.07;0.036;-0.041;0.016;0.036;-0.058;0.044;0.036;-0.04;0.021;0.036;-0.041;0.015;0.036;-0.032;0.003;0.036;-0.015;-0.036;0.163;-0.007;-0.012;-0.007;-0.019;-0.017;0.135;-0.044;0.376;-0.016;-0.003;-0.014;-0.033;-0.014;-0.172;-0.024;-0.005;1.0;-0.018;-0.007;-0.024;0.264;0.113;-0.016;0.058;-0.047;-0.03;-0.024;-0.01;0.035;-0.018;0.122;-0.032;-0.014;-0.01;-0.042;-0.025;0.045;-0.035;-0.003;-0.012;-0.017;0.038;-0.012;-0.006;0.028;-0.016;-0.007;-0.021;0.083;-0.024;-0.044;-0.003;0.054;-0.04;-0.024;-0.019;0.07;-0.057;-0.016;-0.013;-0.039;-0.02;0.122;-0.005;-0.003;-0.009;-0.003;-0.003;-0.006;-0.042;0.053;-0.003;-0.005;-0.006;-0.011;-0.01;-0.005;-0.007;-0.003;-0.009;-0.006;-0.005;-0.006;-0.009;-0.005;-0.005;-0.003;-0.005;-0.037
index__concept:name_2_LacticAcid;0.006;-0.0;-0.033;0.073;-0.012;0.008;0.055;0.04;-0.025;-0.031;-0.024;-0.036;-0.07;0.082;-0.016;-0.072;0.071;-0.016;-0.034;0.039;-0.016;-0.041;0.044;-0.016;-0.037;0.041;-0.016;0.02;-0.02;0.019;-0.019;0.032;-0.032;-0.016;0.022;-0.015;-0.016;0.024;-0.016;-0.016;-0.045;0.049;-0.016;-0.018;0.038;-0.016;0.024;-0.018;-0.016;0.0;0.027;-0.016;-0.041;0.044;-0.016;-0.036;0.041;-0.016;0.006;0.013;-0.016;-0.023;0.029;-0.016;0.041;-0.042;-0.016;-0.032;0.038;-0.016;-0.002;0.011;-0.016;-0.04;0.043;-0.016;-0.03;0.016;-0.015;0.084;-0.024;-0.014;0.947;-0.034;-0.018;-0.493;-0.007;-0.032;-0.007;-0.028;-0.066;-0.028;-0.343;-0.047;-0.01;-0.018;1.0;-0.014;-0.211;-0.01;-0.041;-0.032;-0.036;-0.093;-0.06;0.765;-0.02;-0.081;-0.036;0.874;-0.063;0.022;-0.184;-0.065;-0.049;-0.073;0.474;0.189;-0.023;-0.034;-0.079;-0.187;-0.012;-0.05;-0.033;0.084;0.062;-0.051;0.748;-0.493;-0.007;-0.338;0.46;-0.047;-0.038;-0.111;0.125;-0.032;-0.026;-0.058;-0.361;0.874;-0.01;-0.007;-0.018;-0.007;-0.007;-0.012;0.362;-0.345;0.189;-0.01;-0.012;-0.022;-0.02;-0.01;-0.014;-0.007;0.224;-0.012;-0.01;-0.012;-0.017;-0.01;-0.01;-0.007;-0.01;0.011
index__concept:name_2_Leucocytes;-0.024;-0.035;-0.012;-0.021;-0.017;-0.019;0.099;-0.008;0.131;-0.012;-0.009;0.016;-0.024;-0.006;0.061;0.028;-0.06;0.061;0.014;-0.045;0.061;-0.025;-0.018;0.061;0.023;-0.055;0.061;-0.056;0.056;-0.057;0.057;-0.044;-0.012;0.061;0.042;-0.07;0.061;0.048;-0.076;0.061;-0.032;-0.006;0.061;-0.085;0.056;0.061;-0.088;0.059;0.061;-0.049;-0.01;0.061;-0.025;-0.018;0.061;-0.029;-0.01;0.061;-0.044;-0.012;0.061;-0.031;-0.007;0.061;-0.095;0.07;0.061;-0.014;-0.016;0.061;0.02;-0.052;0.061;-0.024;-0.019;0.061;0.108;-0.061;-0.006;-0.005;-0.009;-0.005;0.266;-0.013;-0.007;-0.187;-0.003;-0.012;0.499;-0.011;-0.025;-0.011;-0.13;-0.018;-0.004;-0.007;-0.014;1.0;-0.08;0.351;-0.016;0.321;-0.014;-0.035;-0.023;-0.018;-0.007;-0.031;0.281;0.079;-0.024;-0.011;-0.07;-0.032;-0.019;-0.028;0.029;-0.003;0.144;0.091;0.021;-0.071;-0.005;-0.114;0.096;-0.005;0.072;-0.019;0.283;-0.187;-0.003;-0.128;0.174;-0.018;-0.014;-0.001;-0.111;0.321;-0.01;0.073;-0.143;0.079;-0.004;-0.003;0.183;-0.003;-0.003;-0.005;0.068;-0.088;-0.003;-0.004;-0.005;-0.008;-0.007;-0.004;-0.005;-0.003;0.199;-0.005;-0.004;-0.005;-0.006;-0.004;-0.004;-0.003;-0.004;0.026
index__concept:name_3_CRP;-0.052;0.055;0.061;-0.011;-0.006;0.032;-0.009;-0.012;-0.084;-0.05;0.008;0.002;0.129;-0.016;-0.236;0.141;0.021;-0.236;0.161;-0.018;-0.236;0.151;0.023;-0.236;0.162;-0.005;-0.236;0.21;-0.21;0.228;-0.228;0.173;0.039;-0.236;0.131;-0.023;-0.236;0.112;-0.002;-0.236;0.166;-0.016;-0.236;0.147;0.028;-0.236;0.144;0.036;-0.236;0.194;0.025;-0.236;0.133;0.037;-0.236;0.174;-0.016;-0.236;0.188;0.016;-0.236;0.109;0.037;-0.236;0.177;0.002;-0.236;0.154;-0.038;-0.236;0.07;0.072;-0.236;0.141;0.033;-0.236;-0.172;0.236;-0.025;-0.044;-0.14;-0.08;-0.223;-0.154;-0.079;0.366;-0.04;-0.121;-0.04;-0.162;-0.383;-0.162;0.556;-0.194;-0.057;-0.024;-0.211;-0.08;1.0;-0.057;-0.238;-0.186;-0.207;-0.539;-0.351;-0.276;-0.088;-0.472;-0.211;-0.223;-0.364;-0.143;0.858;-0.105;0.136;-0.423;-0.408;-0.04;-0.023;-0.048;-0.445;0.834;-0.069;0.166;-0.19;-0.044;-0.047;-0.215;-0.283;0.366;-0.04;0.492;-0.46;-0.194;-0.013;-0.646;0.724;-0.186;-0.151;-0.448;0.546;-0.223;-0.005;-0.04;-0.106;-0.04;-0.04;-0.069;-0.374;0.279;-0.04;0.046;-0.069;0.034;0.067;0.046;0.065;0.033;-0.098;0.057;-0.005;0.057;0.05;-0.005;-0.005;0.033;-0.005;-0.02
