;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;encoded_label
static__DiagnosticLiquor_other;-0.032;-0.067;-0.044;-0.056;0.057;-0.045;-0.01;0.066;0.05;-0.042;0.011;0.101;-0.334;-0.127;0.943;-0.1;-0.467;0.943;-0.108;-0.407;0.943;-0.091;-0.503;0.943;-0.107;-0.441;0.943;-1.0;1.0;-0.899;0.899;-0.759;-0.043;0.943;-0.228;-0.204;0.943;-0.22;-0.214;0.943;-0.115;-0.415;0.943;-0.614;-0.067;0.943;-0.625;-0.065;0.943;-0.809;-0.035;0.943;-0.09;-0.506;0.943;-0.106;-0.445;0.943;-0.766;-0.042;0.943;-0.112;-0.425;0.943;-0.669;-0.057;0.943;-0.174;-0.272;0.943;-0.111;-0.427;0.943;-0.088;-0.513;0.943;0.6;-0.943;0.314;0.28;0.488;0.28;-0.437;0.665;0.28;-0.057;0.086
static__DiagnosticOther_False;0.013;0.051;0.043;0.055;-0.059;0.044;0.009;-0.067;-0.051;0.007;-0.012;-0.062;0.307;0.161;-0.954;0.099;0.474;-0.954;0.121;0.402;-0.954;0.09;0.511;-0.954;0.106;0.449;-0.954;0.899;-0.899;1.0;-1.0;0.768;0.042;-0.954;0.215;0.223;-0.954;0.196;0.243;-0.954;0.114;0.422;-0.954;0.622;0.067;-0.954;0.634;0.064;-0.954;0.819;0.034;-0.954;0.089;0.513;-0.954;0.105;0.452;-0.954;0.775;0.041;-0.954;0.096;0.445;-0.954;0.678;0.057;-0.954;0.183;0.268;-0.954;0.095;0.447;-0.954;0.087;0.521;-0.954;-0.607;0.954;-0.317;-0.283;-0.494;-0.283;0.443;-0.673;-0.283;0.056;-0.073
static__DiagnosticOther_other;-0.013;-0.051;-0.043;-0.055;0.059;-0.044;-0.009;0.067;0.051;-0.007;0.012;0.062;-0.307;-0.161;0.954;-0.099;-0.474;0.954;-0.121;-0.402;0.954;-0.09;-0.511;0.954;-0.106;-0.449;0.954;-0.899;0.899;-1.0;1.0;-0.768;-0.042;0.954;-0.215;-0.223;0.954;-0.196;-0.243;0.954;-0.114;-0.422;0.954;-0.622;-0.067;0.954;-0.634;-0.064;0.954;-0.819;-0.034;0.954;-0.089;-0.513;0.954;-0.105;-0.452;0.954;-0.775;-0.041;0.954;-0.096;-0.445;0.954;-0.678;-0.057;0.954;-0.183;-0.268;0.954;-0.095;-0.447;0.954;-0.087;-0.521;0.954;0.607;-0.954;0.317;0.283;0.494;0.283;-0.443;0.673;0.283;-0.056;0.073
static__DiagnosticSputum_False;-0.024;0.07;0.023;0.019;-0.032;-0.038;0.021;-0.049;-0.034;0.049;-0.0;-0.028;0.308;0.086;-0.808;0.103;0.385;-0.808;0.13;0.315;-0.808;0.106;0.407;-0.808;0.072;0.395;-0.808;0.759;-0.759;0.768;-0.768;1.0;-0.556;-0.808;0.185;0.185;-0.808;0.191;0.181;-0.808;0.134;0.323;-0.808;0.51;0.079;-0.808;0.521;0.076;-0.808;0.688;0.041;-0.808;0.09;0.422;-0.808;0.097;0.376;-0.808;0.648;0.049;-0.808;0.131;0.333;-0.808;0.576;0.045;-0.808;0.138;0.244;-0.808;0.117;0.346;-0.808;0.103;0.417;-0.808;-0.514;0.808;-0.269;-0.24;-0.418;-0.24;0.395;-0.57;-0.24;0.022;-0.046
static__DiagnosticSputum_True;0.076;-0.018;0.019;0.039;-0.04;0.12;-0.028;-0.019;-0.022;-0.027;-0.021;-0.069;-0.047;0.07;-0.04;-0.041;0.06;-0.04;-0.059;0.075;-0.04;-0.059;0.074;-0.04;0.02;0.005;-0.04;0.043;-0.043;0.042;-0.042;-0.556;1.0;-0.04;0.004;0.014;-0.04;-0.031;0.049;-0.04;-0.075;0.089;-0.04;0.062;-0.044;-0.04;0.06;-0.042;-0.04;0.047;-0.023;-0.04;-0.033;0.053;-0.04;-0.024;0.044;-0.04;0.05;-0.027;-0.04;-0.073;0.087;-0.04;0.03;-0.0;-0.04;0.013;0.006;-0.04;-0.051;0.068;-0.04;-0.057;0.073;-0.04;-0.026;0.04;-0.013;-0.012;-0.021;-0.012;-0.009;-0.028;-0.012;0.039;-0.043
static__DiagnosticSputum_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__DiagnosticUrinaryCulture_False;0.033;-0.109;0.075;0.021;-0.017;0.12;-0.076;-0.015;0.02;-0.07;0.009;0.021;0.152;-0.046;-0.225;0.365;-0.184;-0.225;0.351;-0.198;-0.225;0.355;-0.161;-0.225;0.354;-0.184;-0.225;0.228;-0.228;0.215;-0.215;0.185;0.004;-0.225;1.0;-0.895;-0.225;0.839;-0.726;-0.225;0.378;-0.216;-0.225;0.224;-0.086;-0.225;0.224;-0.085;-0.225;0.212;-0.029;-0.225;0.344;-0.151;-0.225;0.305;-0.139;-0.225;0.22;-0.053;-0.225;0.25;-0.098;-0.225;0.188;-0.026;-0.225;0.156;-0.046;-0.225;0.283;-0.126;-0.225;0.327;-0.134;-0.225;-0.143;0.225;-0.075;-0.067;-0.117;-0.067;0.122;-0.159;-0.067;-0.009;-0.043
static__DiagnosticUrinaryCulture_True;-0.021;0.141;-0.056;0.002;-0.014;-0.101;0.078;-0.018;-0.045;0.088;-0.016;-0.059;0.002;0.116;-0.233;-0.321;0.415;-0.233;-0.298;0.395;-0.233;-0.315;0.409;-0.233;-0.307;0.403;-0.233;0.204;-0.204;0.223;-0.223;0.185;0.014;-0.233;-0.895;1.0;-0.233;-0.742;0.841;-0.233;-0.328;0.422;-0.233;0.077;0.115;-0.233;0.083;0.113;-0.233;0.182;0.044;-0.233;-0.304;0.4;-0.233;-0.258;0.36;-0.233;0.154;0.071;-0.233;-0.201;0.309;-0.233;0.14;0.051;-0.233;-0.075;0.182;-0.233;-0.234;0.338;-0.233;-0.289;0.386;-0.233;-0.148;0.233;-0.077;-0.069;-0.121;-0.069;0.093;-0.164;-0.069;0.033;0.004
static__DiagnosticUrinaryCulture_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__DiagnosticUrinarySediment_False;0.017;-0.092;0.073;-0.003;-0.021;0.067;-0.031;-0.006;0.03;-0.057;0.04;0.027;0.139;-0.041;-0.208;0.376;-0.204;-0.208;0.399;-0.251;-0.208;0.378;-0.191;-0.208;0.376;-0.214;-0.208;0.22;-0.22;0.196;-0.196;0.191;-0.031;-0.208;0.839;-0.742;-0.208;1.0;-0.894;-0.208;0.425;-0.267;-0.208;0.204;-0.076;-0.208;0.213;-0.087;-0.208;0.202;-0.038;-0.208;0.375;-0.188;-0.208;0.333;-0.175;-0.208;0.188;-0.024;-0.208;0.266;-0.122;-0.208;0.188;-0.045;-0.208;0.139;-0.037;-0.208;0.306;-0.157;-0.208;0.358;-0.17;-0.208;-0.132;0.208;-0.069;-0.062;-0.108;-0.062;0.089;-0.147;-0.062;0.022;-0.05
static__DiagnosticUrinarySediment_True;-0.005;0.123;-0.054;0.026;-0.01;-0.048;0.033;-0.028;-0.056;0.075;-0.047;-0.065;0.016;0.111;-0.252;-0.329;0.433;-0.252;-0.342;0.446;-0.252;-0.335;0.438;-0.252;-0.326;0.431;-0.252;0.214;-0.214;0.243;-0.243;0.181;0.049;-0.252;-0.726;0.841;-0.252;-0.894;1.0;-0.252;-0.371;0.471;-0.252;0.099;0.105;-0.252;0.096;0.114;-0.252;0.195;0.053;-0.252;-0.332;0.435;-0.252;-0.284;0.394;-0.252;0.187;0.042;-0.252;-0.215;0.332;-0.252;0.141;0.069;-0.252;-0.057;0.173;-0.252;-0.255;0.368;-0.252;-0.316;0.422;-0.252;-0.161;0.252;-0.084;-0.075;-0.131;-0.075;0.126;-0.178;-0.075;0.003;0.01
static__DiagnosticUrinarySediment_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__DiagnosticXthorax_False;-0.127;-0.071;-0.014;-0.081;0.03;-0.06;0.01;-0.021;0.076;-0.008;0.112;0.156;0.279;-0.238;-0.109;0.663;-0.511;-0.109;0.819;-0.686;-0.109;0.71;-0.532;-0.109;0.638;-0.502;-0.109;0.115;-0.115;0.114;-0.114;0.134;-0.075;-0.109;0.378;-0.328;-0.109;0.425;-0.371;-0.109;1.0;-0.838;-0.109;0.134;-0.076;-0.109;0.13;-0.071;-0.109;0.126;-0.061;-0.109;0.66;-0.489;-0.109;0.588;-0.455;-0.109;0.121;-0.051;-0.109;0.473;-0.361;-0.109;0.141;-0.084;-0.109;0.33;-0.27;-0.109;0.486;-0.372;-0.109;0.676;-0.498;-0.109;-0.069;0.109;-0.036;-0.032;-0.056;-0.032;0.03;-0.077;-0.032;0.032;-0.046
static__DiagnosticXthorax_True;0.128;0.103;0.036;0.101;-0.063;0.075;-0.006;-0.021;-0.099;0.029;-0.109;-0.185;-0.066;0.298;-0.452;-0.543;0.736;-0.452;-0.672;0.852;-0.452;-0.59;0.775;-0.452;-0.517;0.713;-0.452;0.415;-0.415;0.422;-0.422;0.323;0.089;-0.452;-0.216;0.422;-0.452;-0.267;0.471;-0.452;-0.838;1.0;-0.452;0.241;0.103;-0.452;0.251;0.097;-0.452;0.36;0.073;-0.452;-0.546;0.738;-0.452;-0.472;0.674;-0.452;0.34;0.068;-0.452;-0.366;0.578;-0.452;0.266;0.105;-0.452;-0.2;0.405;-0.452;-0.378;0.589;-0.452;-0.561;0.751;-0.452;-0.288;0.452;-0.15;-0.134;-0.234;-0.134;0.23;-0.319;-0.134;0.0;-0.005
static__DiagnosticXthorax_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__DisfuncOrg_False;0.031;0.012;0.063;0.079;-0.21;0.047;0.013;-0.028;-0.014;0.06;0.014;-0.037;0.328;-0.012;-0.656;0.097;0.302;-0.656;0.145;0.22;-0.656;0.105;0.315;-0.656;0.109;0.277;-0.656;0.614;-0.614;0.622;-0.622;0.51;0.062;-0.656;0.224;0.077;-0.656;0.204;0.099;-0.656;0.134;0.241;-0.656;1.0;-0.711;-0.656;0.845;-0.505;-0.656;0.733;-0.308;-0.656;0.129;0.296;-0.656;0.141;0.251;-0.656;0.747;-0.341;-0.656;0.15;0.232;-0.656;0.593;-0.141;-0.656;0.233;0.081;-0.656;0.106;0.272;-0.656;0.127;0.302;-0.656;-0.418;0.656;-0.218;-0.195;-0.34;-0.195;0.301;-0.463;-0.195;0.044;-0.295
static__DisfuncOrg_True;-0.018;0.051;-0.045;-0.058;0.216;-0.025;-0.011;-0.03;-0.034;-0.043;-0.033;-0.028;-0.121;0.159;-0.064;-0.04;0.072;-0.064;-0.084;0.11;-0.064;-0.059;0.089;-0.064;-0.05;0.081;-0.064;0.067;-0.067;0.067;-0.067;0.079;-0.044;-0.064;-0.086;0.115;-0.064;-0.076;0.105;-0.064;-0.076;0.103;-0.064;-0.711;1.0;-0.064;-0.495;0.725;-0.064;-0.168;0.438;-0.064;-0.092;0.117;-0.064;-0.093;0.119;-0.064;-0.229;0.487;-0.064;-0.1;0.125;-0.064;-0.118;0.237;-0.064;-0.145;0.171;-0.064;-0.042;0.073;-0.064;-0.09;0.115;-0.064;-0.04;0.064;-0.021;-0.019;-0.033;-0.019;0.039;-0.045;-0.019;-0.008;0.31
static__DisfuncOrg_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__Hypotensie_False;0.014;0.027;0.062;0.062;-0.216;0.044;0.036;-0.03;-0.015;0.034;0.013;-0.023;0.316;0.007;-0.669;0.093;0.312;-0.669;0.131;0.24;-0.669;0.102;0.325;-0.669;0.106;0.287;-0.669;0.625;-0.625;0.634;-0.634;0.521;0.06;-0.669;0.224;0.083;-0.669;0.213;0.096;-0.669;0.13;0.251;-0.669;0.845;-0.495;-0.669;1.0;-0.701;-0.669;0.639;-0.102;-0.669;0.127;0.305;-0.669;0.15;0.25;-0.669;0.718;-0.271;-0.669;0.147;0.241;-0.669;0.579;-0.108;-0.669;0.185;0.133;-0.669;0.124;0.263;-0.669;0.125;0.312;-0.669;-0.425;0.669;-0.222;-0.199;-0.346;-0.199;0.324;-0.472;-0.199;0.022;-0.304
static__Hypotensie_True;0.005;0.033;-0.043;-0.035;0.226;-0.021;-0.042;-0.029;-0.033;-0.007;-0.032;-0.049;-0.102;0.138;-0.061;-0.035;0.066;-0.061;-0.065;0.092;-0.061;-0.055;0.084;-0.061;-0.045;0.075;-0.061;0.065;-0.065;0.064;-0.064;0.076;-0.042;-0.061;-0.085;0.113;-0.061;-0.087;0.114;-0.061;-0.071;0.097;-0.061;-0.505;0.725;-0.061;-0.701;1.0;-0.061;-0.032;0.169;-0.061;-0.089;0.113;-0.061;-0.105;0.127;-0.061;-0.182;0.402;-0.061;-0.096;0.12;-0.061;-0.092;0.197;-0.061;-0.081;0.107;-0.061;-0.066;0.093;-0.061;-0.087;0.111;-0.061;-0.039;0.061;-0.02;-0.018;-0.032;-0.018;0.015;-0.043;-0.018;0.021;0.326
static__Hypotensie_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__Hypoxie_False;0.012;0.032;0.048;0.065;-0.064;0.053;0.017;-0.055;-0.04;0.046;-0.005;-0.078;0.349;0.069;-0.86;0.08;0.435;-0.86;0.134;0.339;-0.86;0.068;0.471;-0.86;0.09;0.41;-0.86;0.809;-0.809;0.819;-0.819;0.688;0.047;-0.86;0.212;0.182;-0.86;0.202;0.195;-0.86;0.126;0.36;-0.86;0.733;-0.168;-0.86;0.639;-0.032;-0.86;1.0;-0.481;-0.86;0.099;0.447;-0.86;0.088;0.413;-0.86;0.766;-0.079;-0.86;0.123;0.369;-0.86;0.652;-0.007;-0.86;0.203;0.205;-0.86;0.109;0.383;-0.86;0.097;0.454;-0.86;-0.547;0.86;-0.286;-0.256;-0.445;-0.256;0.409;-0.607;-0.256;0.039;-0.134
static__Hypoxie_True;0.019;0.06;-0.023;-0.04;0.01;-0.035;-0.023;-0.015;-0.018;-0.022;-0.017;0.01;-0.107;0.128;-0.033;0.005;0.015;-0.033;-0.064;0.076;-0.033;0.014;0.009;-0.033;-0.002;0.02;-0.033;0.035;-0.035;0.034;-0.034;0.041;-0.023;-0.033;-0.029;0.044;-0.033;-0.038;0.053;-0.033;-0.061;0.073;-0.033;-0.308;0.438;-0.033;-0.102;0.169;-0.033;-0.481;1.0;-0.033;-0.048;0.06;-0.033;-0.001;0.02;-0.033;-0.102;0.222;-0.033;-0.059;0.071;-0.033;-0.05;0.106;-0.033;-0.098;0.11;-0.033;-0.032;0.047;-0.033;-0.047;0.059;-0.033;-0.021;0.033;-0.011;-0.01;-0.017;-0.01;0.004;-0.023;-0.01;0.016;0.116
static__Hypoxie_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__InfectionSuspected_False;-0.104;-0.103;0.015;-0.103;-0.011;-0.023;-0.058;-0.003;0.051;-0.057;0.19;0.192;0.218;-0.185;-0.085;0.792;-0.636;-0.085;0.631;-0.528;-0.085;0.849;-0.664;-0.085;0.748;-0.612;-0.085;0.09;-0.09;0.089;-0.089;0.09;-0.033;-0.085;0.344;-0.304;-0.085;0.375;-0.332;-0.085;0.66;-0.546;-0.085;0.129;-0.092;-0.085;0.127;-0.089;-0.085;0.099;-0.048;-0.085;1.0;-0.789;-0.085;0.756;-0.617;-0.085;0.104;-0.057;-0.085;0.635;-0.519;-0.085;0.119;-0.078;-0.085;0.355;-0.305;-0.085;0.684;-0.562;-0.085;0.967;-0.755;-0.085;-0.054;0.085;-0.028;-0.025;-0.044;-0.025;0.012;-0.06;-0.025;0.04;-0.054
static__InfectionSuspected_True;0.102;0.131;0.013;0.118;-0.032;0.044;0.053;-0.042;-0.077;0.072;-0.169;-0.212;0.024;0.251;-0.545;-0.608;0.847;-0.545;-0.46;0.71;-0.545;-0.662;0.893;-0.545;-0.567;0.81;-0.545;0.506;-0.506;0.513;-0.513;0.422;0.053;-0.545;-0.151;0.4;-0.545;-0.188;0.435;-0.545;-0.489;0.738;-0.545;0.296;0.117;-0.545;0.305;0.113;-0.545;0.447;0.06;-0.545;-0.789;1.0;-0.545;-0.575;0.817;-0.545;0.415;0.072;-0.545;-0.47;0.722;-0.545;0.34;0.099;-0.545;-0.191;0.44;-0.545;-0.511;0.759;-0.545;-0.762;0.976;-0.545;-0.347;0.545;-0.181;-0.162;-0.282;-0.162;0.279;-0.384;-0.162;-0.001;-0.007
static__InfectionSuspected_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__Infusion_False;-0.077;-0.102;-0.026;-0.068;-0.018;-0.002;-0.046;-0.015;0.088;-0.044;0.244;0.133;0.197;-0.156;-0.1;0.672;-0.524;-0.1;0.576;-0.47;-0.1;0.727;-0.552;-0.1;0.681;-0.544;-0.1;0.106;-0.106;0.105;-0.105;0.097;-0.024;-0.1;0.305;-0.258;-0.1;0.333;-0.284;-0.1;0.588;-0.472;-0.1;0.141;-0.093;-0.1;0.15;-0.105;-0.1;0.088;-0.001;-0.1;0.756;-0.575;-0.1;1.0;-0.823;-0.1;0.123;-0.067;-0.1;0.528;-0.415;-0.1;0.116;-0.058;-0.1;0.333;-0.276;-0.1;0.571;-0.453;-0.1;0.773;-0.584;-0.1;-0.064;0.1;-0.033;-0.03;-0.052;-0.03;0.0;-0.071;-0.03;0.065;-0.057
static__Infusion_True;0.082;0.131;0.047;0.089;-0.022;0.024;0.044;-0.028;-0.11;0.061;-0.224;-0.164;0.018;0.225;-0.483;-0.538;0.749;-0.483;-0.442;0.66;-0.483;-0.591;0.795;-0.483;-0.542;0.752;-0.483;0.445;-0.445;0.452;-0.452;0.376;0.044;-0.483;-0.139;0.36;-0.483;-0.175;0.394;-0.483;-0.455;0.674;-0.483;0.251;0.119;-0.483;0.25;0.127;-0.483;0.413;0.02;-0.483;-0.617;0.817;-0.483;-0.823;1.0;-0.483;0.357;0.082;-0.483;-0.404;0.629;-0.483;0.306;0.082;-0.483;-0.193;0.413;-0.483;-0.443;0.664;-0.483;-0.633;0.83;-0.483;-0.307;0.483;-0.161;-0.144;-0.25;-0.144;0.267;-0.341;-0.144;-0.027;0.001
static__Infusion_other;-0.025;-0.072;-0.041;-0.051;0.067;-0.04;-0.006;0.072;0.056;-0.039;0.015;0.083;-0.336;-0.153;1.0;-0.094;-0.505;1.0;-0.115;-0.431;1.0;-0.086;-0.542;1.0;-0.101;-0.479;1.0;-0.943;0.943;-0.954;0.954;-0.808;-0.04;1.0;-0.225;-0.233;1.0;-0.208;-0.252;1.0;-0.109;-0.452;1.0;-0.656;-0.064;1.0;-0.669;-0.061;1.0;-0.86;-0.033;1.0;-0.085;-0.545;1.0;-0.1;-0.483;1.0;-0.815;-0.039;1.0;-0.106;-0.463;1.0;-0.714;-0.054;1.0;-0.175;-0.298;1.0;-0.105;-0.464;1.0;-0.083;-0.553;1.0;0.636;-1.0;0.332;0.297;0.517;0.297;-0.469;0.705;0.297;-0.053;0.085
static__Oligurie_False;0.037;0.032;0.051;0.07;-0.179;0.058;-0.009;-0.05;-0.035;0.048;-0.001;-0.042;0.323;0.073;-0.815;0.116;0.378;-0.815;0.105;0.342;-0.815;0.105;0.412;-0.815;0.124;0.354;-0.815;0.766;-0.766;0.775;-0.775;0.648;0.05;-0.815;0.22;0.154;-0.815;0.188;0.187;-0.815;0.121;0.34;-0.815;0.747;-0.229;-0.815;0.718;-0.182;-0.815;0.766;-0.102;-0.815;0.104;0.415;-0.815;0.123;0.357;-0.815;1.0;-0.547;-0.815;0.104;0.361;-0.815;0.66;-0.066;-0.815;0.205;0.182;-0.815;0.129;0.34;-0.815;0.102;0.422;-0.815;-0.518;0.815;-0.271;-0.242;-0.422;-0.242;0.4;-0.575;-0.242;0.021;-0.213
