;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;index__CRP_1;index__LacticAcid_1;index__Leucocytes_1;index__hour_1;index__day_1;index__month_1;index__timesincemidnight_1;index__timesincelast_1;index__timesincestart_1;index__OrderOfEvent_1;index__openCases_1;index__remainingtime_1;index__CRP_2;index__LacticAcid_2;index__Leucocytes_2;index__hour_2;index__day_2;index__month_2;index__timesincemidnight_2;index__timesincelast_2;index__timesincestart_2;index__OrderOfEvent_2;index__openCases_2;index__remainingtime_2;index__CRP_3;index__LacticAcid_3;index__Leucocytes_3;index__hour_3;index__day_3;index__month_3;index__timesincemidnight_3;index__timesincelast_3;index__timesincestart_3;index__OrderOfEvent_3;index__openCases_3;index__remainingtime_3;index__CRP_4;index__LacticAcid_4;index__Leucocytes_4;index__hour_4;index__day_4;index__month_4;index__timesincemidnight_4;index__timesincelast_4;index__timesincestart_4;index__OrderOfEvent_4;index__openCases_4;index__remainingtime_4;index__CRP_5;index__LacticAcid_5;index__Leucocytes_5;index__hour_5;index__day_5;index__month_5;index__timesincemidnight_5;index__timesincelast_5;index__timesincestart_5;index__OrderOfEvent_5;index__openCases_5;index__remainingtime_5;encoded_label
index__day_3;0.011;0.046;0.049;-0.003;1.0;0.03;-0.002;0.041;-0.018;0.023;0.032;0.03;0.023;-0.01;1.0;0.03;-0.011;0.007;0.004;-0.031;-0.018;0.023;0.086;0.023;0.038;0.001;1.0;0.03;0.002;0.025;0.022;0.012;-0.018;0.023;0.026;-0.008;-0.055;0.006;1.0;0.03;0.007;-0.054;0.017;-0.034;-0.018;0.023;0.085;-0.031;-0.003;0.003;1.0;0.03;0.002;-0.011;0.014;0.016;-0.018;0.023;0.07;0.003;-0.019;-0.009;1.0;0.03;-0.012;-0.026;-0.02;0.013;-0.018;0.023;0.108
index__month_3;0.039;-0.007;0.026;-0.102;0.031;1.0;-0.101;0.037;0.21;-0.003;-0.053;0.008;0.021;-0.083;0.03;1.0;-0.084;0.0;-0.003;-0.015;0.21;-0.003;0.059;-0.041;0.019;-0.063;0.03;1.0;-0.064;0.017;0.015;-0.007;0.21;-0.003;0.039;0.023;0.036;-0.057;0.03;1.0;-0.057;0.026;0.009;0.046;0.21;-0.003;0.031;0.049;0.004;-0.067;0.03;1.0;-0.065;-0.026;0.007;0.005;0.21;-0.003;-0.018;0.058;0.04;-0.08;0.03;1.0;-0.079;-0.016;-0.013;-0.047;0.21;-0.003;0.032
index__timesincemidnight_3;-0.094;0.03;0.063;0.895;0.009;-0.057;0.894;0.058;-0.02;-0.042;-0.016;-0.07;-0.006;0.95;0.008;-0.057;0.951;0.052;0.05;-0.075;-0.02;-0.042;-0.028;-0.026;0.02;0.986;0.007;-0.057;0.987;0.081;0.092;0.011;-0.02;-0.042;0.042;-0.007;-0.055;0.999;0.007;-0.057;1.0;-0.003;0.107;0.019;-0.02;-0.042;0.003;-0.037;-0.072;0.986;0.007;-0.057;0.987;-0.004;0.095;-0.031;-0.02;-0.042;0.027;-0.056;-0.022;0.922;0.008;-0.057;0.922;-0.035;-0.003;0.0;-0.019;-0.042;-0.044
index__timesincelast_3;-0.016;0.109;0.104;-0.033;-0.054;0.026;-0.031;0.123;0.039;-0.046;-0.037;-0.023;0.038;-0.048;-0.054;0.026;-0.046;-0.022;-0.025;-0.108;0.039;-0.046;0.009;-0.094;0.008;-0.026;-0.054;0.026;-0.025;0.097;0.064;-0.068;0.039;-0.046;0.001;0.186;0.158;-0.003;-0.054;0.026;-0.003;1.0;0.18;0.299;0.04;-0.046;-0.175;-0.094;-0.002;0.007;-0.054;0.026;0.004;-0.022;0.195;-0.245;0.041;-0.046;-0.106;-0.067;-0.007;-0.01;-0.05;0.026;-0.013;0.226;0.272;-0.046;0.043;-0.047;-0.045
index__timesincestart_3;-0.129;0.465;0.719;-0.103;0.017;0.009;-0.101;0.573;0.067;-0.043;0.084;-0.032;0.512;-0.023;0.017;0.009;-0.019;0.606;0.605;-0.295;0.067;-0.043;0.163;-0.033;0.273;0.092;0.017;0.009;0.097;0.748;0.975;-0.024;0.067;-0.043;0.044;-0.072;0.06;0.103;0.017;0.009;0.107;0.18;1.0;-0.067;0.067;-0.043;0.064;-0.117;0.046;0.107;0.017;0.009;0.109;0.02;0.969;-0.026;0.067;-0.043;0.098;-0.089;0.006;0.117;0.018;0.009;0.112;0.039;0.344;0.099;0.068;-0.043;0.018
index__OrderOfEvent_3;-0.053;-0.072;-0.08;0.019;-0.034;0.046;0.023;-0.073;-0.013;0.031;-0.265;-0.219;-0.321;0.011;-0.034;0.046;0.013;-0.047;-0.069;-0.278;-0.013;0.031;-0.28;-0.447;-0.309;0.008;-0.034;0.046;0.011;-0.107;-0.121;-0.323;-0.013;0.031;0.282;0.456;0.305;0.016;-0.034;0.046;0.019;0.299;-0.067;1.0;-0.013;0.031;-0.26;0.218;-0.072;0.007;-0.034;0.046;0.01;-0.188;-0.123;-0.277;-0.013;0.031;-0.371;-0.123;0.086;0.018;-0.036;0.046;0.021;-0.061;-0.094;-0.538;-0.013;0.031;0.007
index__openCases_3;-0.053;-0.005;0.037;-0.061;-0.017;0.21;-0.062;0.028;1.0;-0.127;0.02;0.056;0.08;-0.049;-0.018;0.21;-0.049;0.019;0.02;0.036;1.0;-0.127;-0.048;0.019;0.092;-0.027;-0.018;0.21;-0.027;0.068;0.061;0.027;1.0;-0.127;-0.031;-0.024;-0.066;-0.02;-0.018;0.21;-0.02;0.04;0.067;-0.013;1.0;-0.127;-0.006;0.001;0.068;-0.007;-0.018;0.21;-0.007;0.05;0.078;0.04;1.0;-0.127;-0.055;-0.036;-0.075;-0.024;-0.017;0.21;-0.024;0.045;0.067;-0.051;1.0;-0.128;-0.018
index__remainingtime_3;0.06;-0.05;-0.035;-0.001;0.023;-0.003;-0.001;-0.052;-0.127;1.0;-0.048;0.034;-0.027;-0.031;0.023;-0.003;-0.033;0.02;0.015;0.042;-0.127;1.0;-0.08;-0.034;-0.064;-0.04;0.023;-0.003;-0.043;-0.06;-0.034;-0.03;-0.128;1.0;-0.027;-0.022;0.012;-0.041;0.023;-0.003;-0.042;-0.046;-0.043;0.031;-0.127;1.0;-0.067;0.039;0.043;-0.041;0.023;-0.003;-0.042;-0.021;-0.051;0.011;-0.127;1.0;-0.082;-0.044;0.018;-0.034;0.023;-0.003;-0.033;-0.027;-0.039;-0.036;-0.127;1.0;0.088
index__CRP_4;-0.059;0.185;0.1;-0.029;0.086;0.031;-0.027;0.1;-0.006;-0.067;0.228;-0.01;0.114;-0.007;0.085;0.031;-0.007;0.026;0.035;-0.029;-0.007;-0.067;0.361;0.013;0.022;0.002;0.085;0.031;0.001;0.064;0.075;-0.029;-0.007;-0.067;0.536;-0.219;-0.007;0.002;0.085;0.031;0.003;-0.175;0.064;-0.26;-0.006;-0.067;1.0;0.084;0.22;0.005;0.085;0.031;0.006;0.112;0.07;0.388;-0.007;-0.067;0.421;-0.011;0.029;0.007;0.084;0.031;0.005;-0.065;-0.04;-0.111;-0.007;-0.067;0.142
index__LacticAcid_4;0.008;-0.105;-0.124;-0.043;-0.03;0.049;-0.04;-0.113;0.001;0.039;-0.018;0.037;-0.07;-0.037;-0.03;0.049;-0.037;-0.083;-0.082;0.093;0.001;0.039;-0.083;0.116;-0.104;-0.046;-0.03;0.049;-0.048;-0.116;-0.145;-0.038;0.001;0.039;0.195;0.389;0.082;-0.037;-0.031;0.049;-0.037;-0.094;-0.117;0.218;0.001;0.039;0.084;1.0;0.102;-0.041;-0.031;0.049;-0.04;0.002;-0.152;0.21;0.001;0.039;-0.209;0.247;0.094;-0.066;-0.032;0.049;-0.065;-0.134;-0.175;-0.502;0.001;0.04;0.186
index__Leucocytes_4;-0.027;0.034;0.083;-0.098;-0.003;0.004;-0.098;0.064;0.068;0.043;0.073;0.057;0.132;-0.083;-0.003;0.004;-0.085;-0.004;0.003;0.033;0.068;0.043;0.242;0.159;0.322;-0.067;-0.004;0.004;-0.069;0.062;0.055;0.179;0.068;0.043;0.112;-0.014;0.269;-0.072;-0.003;0.004;-0.072;-0.002;0.046;-0.072;0.068;0.043;0.22;0.102;1.0;-0.066;-0.004;0.004;-0.067;0.137;0.047;0.287;0.067;0.043;-0.018;-0.204;0.266;-0.054;-0.003;0.004;-0.057;0.015;0.035;-0.285;0.068;0.043;0.04
index__hour_4;-0.098;0.03;0.064;0.885;0.006;-0.067;0.884;0.059;-0.006;-0.041;-0.011;-0.069;-0.002;0.94;0.004;-0.067;0.94;0.052;0.05;-0.073;-0.007;-0.041;-0.022;-0.023;0.029;0.973;0.004;-0.067;0.973;0.081;0.092;0.018;-0.007;-0.041;0.038;-0.011;-0.056;0.987;0.003;-0.067;0.986;0.007;0.107;0.007;-0.007;-0.041;0.005;-0.041;-0.066;1.0;0.003;-0.067;0.999;0.036;0.107;-0.027;-0.007;-0.041;0.031;-0.059;-0.028;0.935;0.004;-0.067;0.933;-0.011;0.023;0.002;-0.006;-0.041;-0.046
index__day_4;0.011;0.046;0.049;-0.003;1.0;0.03;-0.002;0.041;-0.019;0.023;0.032;0.03;0.023;-0.01;1.0;0.03;-0.01;0.007;0.004;-0.031;-0.018;0.023;0.086;0.023;0.038;0.002;1.0;0.03;0.003;0.025;0.022;0.011;-0.018;0.023;0.026;-0.008;-0.055;0.007;1.0;0.03;0.007;-0.054;0.017;-0.034;-0.018;0.023;0.085;-0.031;-0.004;0.003;1.0;0.03;0.001;-0.012;0.014;0.016;-0.019;0.023;0.07;0.003;-0.019;-0.01;1.0;0.03;-0.012;-0.026;-0.02;0.013;-0.018;0.023;0.108
index__month_4;0.039;-0.007;0.026;-0.102;0.031;1.0;-0.101;0.037;0.21;-0.003;-0.053;0.008;0.021;-0.083;0.03;1.0;-0.084;0.0;-0.003;-0.015;0.21;-0.003;0.059;-0.041;0.019;-0.063;0.03;1.0;-0.064;0.017;0.015;-0.007;0.21;-0.003;0.039;0.023;0.036;-0.057;0.03;1.0;-0.057;0.026;0.009;0.046;0.21;-0.003;0.031;0.049;0.004;-0.067;0.03;1.0;-0.065;-0.026;0.007;0.005;0.21;-0.003;-0.018;0.058;0.04;-0.08;0.03;1.0;-0.079;-0.016;-0.013;-0.047;0.21;-0.003;0.032
index__timesincemidnight_4;-0.1;0.03;0.064;0.885;0.004;-0.065;0.884;0.059;-0.006;-0.042;-0.012;-0.07;-0.003;0.94;0.003;-0.065;0.941;0.054;0.052;-0.073;-0.007;-0.042;-0.022;-0.025;0.026;0.973;0.002;-0.065;0.974;0.082;0.094;0.017;-0.007;-0.042;0.038;-0.011;-0.054;0.986;0.002;-0.065;0.987;0.004;0.109;0.01;-0.007;-0.042;0.006;-0.04;-0.067;0.999;0.001;-0.065;1.0;0.038;0.109;-0.026;-0.007;-0.042;0.029;-0.059;-0.026;0.933;0.003;-0.065;0.934;-0.014;0.021;-0.001;-0.006;-0.042;-0.043
index__timesincelast_4;0.031;-0.037;-0.041;0.025;-0.012;-0.026;0.027;-0.038;0.05;-0.021;0.016;-0.018;-0.028;0.031;-0.013;-0.026;0.032;-0.029;-0.026;0.012;0.05;-0.021;0.071;0.003;0.019;-0.018;-0.011;-0.026;-0.017;-0.034;-0.036;0.074;0.05;-0.021;-0.029;-0.159;0.004;-0.002;-0.011;-0.026;-0.004;-0.022;0.02;-0.188;0.05;-0.021;0.112;0.002;0.137;0.036;-0.012;-0.026;0.038;1.0;0.209;0.234;0.049;-0.022;-0.046;-0.202;-0.029;0.012;-0.006;-0.026;0.013;0.338;0.377;-0.121;0.048;-0.022;-0.018
index__timesincestart_4;-0.122;0.45;0.702;-0.094;0.014;0.007;-0.093;0.554;0.078;-0.051;0.093;-0.031;0.505;-0.015;0.014;0.007;-0.011;0.595;0.594;-0.281;0.078;-0.051;0.176;-0.034;0.287;0.081;0.015;0.007;0.085;0.724;0.948;-0.001;0.078;-0.051;0.002;-0.104;0.052;0.092;0.014;0.007;0.095;0.195;0.969;-0.123;0.078;-0.051;0.07;-0.152;0.047;0.107;0.014;0.007;0.109;0.209;1.0;-0.002;0.078;-0.051;0.095;-0.095;-0.011;0.112;0.017;0.007;0.108;0.134;0.441;0.125;0.078;-0.052;0.012
index__OrderOfEvent_4;-0.023;0.003;0.0;-0.042;0.016;0.005;-0.042;0.003;0.04;0.011;-0.011;-0.008;-0.008;-0.03;0.016;0.005;-0.029;-0.009;-0.01;-0.011;0.041;0.011;-0.19;-0.14;-0.251;-0.04;0.016;0.005;-0.038;-0.011;-0.026;-0.308;0.041;0.011;-0.04;-0.472;-0.126;-0.032;0.016;0.005;-0.031;-0.245;-0.026;-0.277;0.04;0.011;0.388;0.21;0.287;-0.027;0.016;0.005;-0.026;0.234;-0.002;1.0;0.04;0.011;-0.184;-0.205;-0.103;-0.055;0.016;0.005;-0.053;-0.072;-0.061;-0.292;0.041;0.011;0.079
index__openCases_4;-0.053;-0.005;0.037;-0.061;-0.018;0.21;-0.062;0.028;1.0;-0.127;0.02;0.056;0.08;-0.049;-0.018;0.21;-0.049;0.019;0.02;0.036;1.0;-0.127;-0.048;0.019;0.092;-0.027;-0.018;0.21;-0.027;0.068;0.062;0.027;1.0;-0.127;-0.031;-0.024;-0.066;-0.019;-0.018;0.21;-0.02;0.041;0.067;-0.013;1.0;-0.127;-0.007;0.001;0.067;-0.007;-0.019;0.21;-0.007;0.049;0.078;0.04;1.0;-0.127;-0.055;-0.036;-0.075;-0.024;-0.017;0.21;-0.024;0.045;0.067;-0.05;1.0;-0.127;-0.018
index__remainingtime_4;0.06;-0.05;-0.035;-0.001;0.023;-0.003;-0.001;-0.052;-0.127;1.0;-0.048;0.034;-0.027;-0.031;0.023;-0.003;-0.033;0.02;0.015;0.042;-0.127;1.0;-0.08;-0.034;-0.064;-0.04;0.023;-0.003;-0.043;-0.06;-0.034;-0.03;-0.128;1.0;-0.026;-0.022;0.012;-0.041;0.023;-0.003;-0.042;-0.046;-0.043;0.031;-0.127;1.0;-0.067;0.039;0.043;-0.041;0.023;-0.003;-0.042;-0.022;-0.051;0.011;-0.127;1.0;-0.082;-0.044;0.018;-0.034;0.023;-0.003;-0.033;-0.028;-0.039;-0.036;-0.127;1.0;0.088
index__CRP_5;-0.047;0.214;0.126;0.007;0.07;-0.018;0.007;0.119;-0.054;-0.082;0.241;-0.013;0.133;0.01;0.07;-0.018;0.01;0.053;0.062;-0.039;-0.055;-0.082;0.534;0.143;0.222;0.033;0.07;-0.018;0.031;0.103;0.126;0.175;-0.055;-0.082;0.317;-0.05;-0.15;0.028;0.07;-0.018;0.027;-0.106;0.098;-0.371;-0.055;-0.082;0.421;-0.209;-0.018;0.031;0.07;-0.018;0.029;-0.046;0.095;-0.184;-0.055;-0.082;1.0;0.137;0.053;0.052;0.069;-0.018;0.049;-0.031;-0.0;0.432;-0.055;-0.082;0.068
index__LacticAcid_5;0.043;-0.029;-0.088;-0.054;0.003;0.058;-0.052;-0.083;-0.037;-0.045;0.05;0.069;-0.009;-0.051;0.003;0.058;-0.051;-0.021;-0.017;0.114;-0.037;-0.044;0.148;0.241;0.066;-0.052;0.003;0.058;-0.052;-0.063;-0.05;0.129;-0.037;-0.044;-0.088;0.409;-0.1;-0.056;0.003;0.058;-0.056;-0.067;-0.089;-0.123;-0.036;-0.044;-0.011;0.247;-0.204;-0.059;0.003;0.058;-0.059;-0.202;-0.095;-0.205;-0.036;-0.044;0.137;1.0;0.032;-0.076;0.002;0.058;-0.077;-0.097;-0.13;0.366;-0.037;-0.044;0.113
index__Leucocytes_5;0.026;0.007;0.016;-0.041;-0.019;0.04;-0.041;0.007;-0.074;0.018;0.025;0.007;0.032;-0.031;-0.019;0.04;-0.031;-0.008;-0.006;0.004;-0.075;0.018;0.086;0.04;0.143;-0.024;-0.019;0.04;-0.024;0.001;-0.003;0.055;-0.075;0.018;0.135;0.094;0.736;-0.023;-0.019;0.04;-0.022;-0.007;0.006;0.086;-0.075;0.018;0.029;0.094;0.266;-0.028;-0.019;0.04;-0.026;-0.029;-0.011;-0.103;-0.075;0.018;0.053;0.032;1.0;-0.034;-0.019;0.04;-0.034;-0.02;-0.025;-0.033;-0.075;0.018;0.015
index__hour_5;-0.089;0.048;0.079;0.829;-0.007;-0.08;0.829;0.072;-0.024;-0.034;-0.004;-0.071;0.013;0.884;-0.008;-0.08;0.884;0.05;0.048;-0.081;-0.024;-0.034;0.01;-0.033;0.042;0.912;-0.009;-0.08;0.912;0.105;0.111;0.011;-0.024;-0.034;0.047;-0.018;-0.043;0.923;-0.009;-0.08;0.922;-0.01;0.117;0.018;-0.024;-0.034;0.007;-0.066;-0.054;0.935;-0.01;-0.08;0.933;0.012;0.112;-0.055;-0.024;-0.034;0.052;-0.076;-0.034;1.0;-0.011;-0.08;0.999;0.024;0.057;0.008;-0.024;-0.034;-0.053
index__day_5;0.012;0.046;0.048;-0.002;1.0;0.03;-0.001;0.041;-0.018;0.023;0.031;0.029;0.022;-0.009;1.0;0.03;-0.01;0.007;0.004;-0.031;-0.017;0.023;0.085;0.023;0.037;0.002;1.0;0.03;0.003;0.025;0.022;0.012;-0.017;0.023;0.025;-0.009;-0.055;0.008;1.0;0.03;0.008;-0.05;0.018;-0.036;-0.017;0.023;0.084;-0.032;-0.003;0.004;1.0;0.03;0.003;-0.006;0.017;0.016;-0.017;0.023;0.069;0.002;-0.019;-0.011;1.0;0.03;-0.014;-0.012;-0.006;0.014;-0.017;0.023;0.107
index__month_5;0.039;-0.007;0.026;-0.102;0.031;1.0;-0.101;0.037;0.21;-0.003;-0.053;0.008;0.021;-0.083;0.03;1.0;-0.084;0.0;-0.003;-0.015;0.21;-0.003;0.059;-0.041;0.019;-0.063;0.03;1.0;-0.064;0.017;0.015;-0.007;0.21;-0.003;0.039;0.023;0.036;-0.057;0.03;1.0;-0.057;0.026;0.009;0.046;0.21;-0.003;0.031;0.049;0.004;-0.067;0.03;1.0;-0.065;-0.026;0.007;0.005;0.21;-0.003;-0.018;0.058;0.04;-0.08;0.03;1.0;-0.079;-0.016;-0.013;-0.047;0.21;-0.003;0.032
index__timesincemidnight_5;-0.089;0.043;0.076;0.83;-0.01;-0.079;0.83;0.07;-0.023;-0.033;-0.007;-0.071;0.009;0.885;-0.011;-0.079;0.885;0.046;0.044;-0.08;-0.024;-0.033;0.005;-0.038;0.039;0.912;-0.012;-0.079;0.912;0.102;0.106;0.008;-0.024;-0.033;0.045;-0.019;-0.042;0.921;-0.012;-0.079;0.922;-0.013;0.112;0.021;-0.024;-0.033;0.005;-0.065;-0.057;0.933;-0.012;-0.079;0.934;0.013;0.108;-0.053;-0.024;-0.033;0.049;-0.077;-0.034;0.999;-0.014;-0.079;1.0;0.02;0.052;0.006;-0.023;-0.033;-0.053
index__timesincelast_5;0.057;0.005;0.001;-0.031;-0.027;-0.016;-0.03;0.003;0.046;-0.027;-0.012;-0.019;-0.009;-0.03;-0.027;-0.016;-0.029;-0.006;-0.008;-0.023;0.046;-0.027;0.004;-0.023;-0.007;-0.042;-0.026;-0.016;-0.04;0.016;0.008;-0.001;0.046;-0.027;-0.054;-0.066;0.011;-0.032;-0.026;-0.016;-0.035;0.226;0.039;-0.061;0.045;-0.027;-0.065;-0.134;0.015;-0.011;-0.026;-0.016;-0.014;0.338;0.134;-0.072;0.045;-0.028;-0.031;-0.097;-0.02;0.024;-0.012;-0.016;0.02;1.0;0.948;0.079;0.043;-0.03;-0.039
index__timesincestart_5;0.015;0.149;0.226;-0.059;-0.02;-0.013;-0.057;0.179;0.068;-0.039;0.021;-0.025;0.156;-0.033;-0.02;-0.013;-0.03;0.186;0.185;-0.109;0.068;-0.039;0.063;-0.029;0.088;-0.012;-0.02;-0.013;-0.009;0.247;0.313;0.002;0.068;-0.039;-0.053;-0.094;0.032;-0.001;-0.02;-0.013;-0.003;0.272;0.344;-0.094;0.067;-0.039;-0.04;-0.175;0.035;0.023;-0.02;-0.013;0.021;0.377;0.441;-0.061;0.067;-0.039;-0.0;-0.13;-0.025;0.057;-0.006;-0.013;0.052;0.948;1.0;0.107;0.065;-0.041;-0.029
index__OrderOfEvent_5;0.039;0.135;0.095;0.003;0.013;-0.047;0.001;0.097;-0.05;-0.036;0.096;0.044;0.122;-0.007;0.013;-0.047;-0.007;0.077;0.082;0.005;-0.051;-0.036;0.158;0.095;0.133;0.015;0.013;-0.047;0.014;0.125;0.154;0.095;-0.05;-0.036;-0.298;-0.188;-0.295;0.001;0.013;-0.047;0.0;-0.046;0.099;-0.538;-0.051;-0.036;-0.111;-0.502;-0.285;0.002;0.013;-0.047;-0.001;-0.121;0.125;-0.292;-0.05;-0.036;0.432;0.366;-0.033;0.008;0.014;-0.047;0.006;0.079;0.107;1.0;-0.051;-0.036;-0.045
index__openCases_5;-0.053;-0.004;0.037;-0.06;-0.017;0.21;-0.062;0.028;1.0;-0.127;0.021;0.056;0.081;-0.049;-0.017;0.21;-0.048;0.019;0.02;0.036;1.0;-0.127;-0.049;0.019;0.093;-0.026;-0.018;0.21;-0.026;0.069;0.062;0.027;1.0;-0.127;-0.032;-0.025;-0.066;-0.019;-0.018;0.21;-0.019;0.043;0.068;-0.013;1.0;-0.127;-0.007;0.001;0.068;-0.006;-0.018;0.21;-0.006;0.048;0.078;0.041;1.0;-0.127;-0.055;-0.037;-0.075;-0.024;-0.017;0.21;-0.023;0.043;0.065;-0.051;1.0;-0.127;-0.018
index__remainingtime_5;0.06;-0.05;-0.035;-0.001;0.023;-0.003;-0.001;-0.052;-0.127;1.0;-0.048;0.034;-0.027;-0.03;0.024;-0.003;-0.033;0.02;0.015;0.042;-0.128;1.0;-0.08;-0.034;-0.064;-0.04;0.024;-0.003;-0.043;-0.061;-0.034;-0.03;-0.128;1.0;-0.026;-0.022;0.012;-0.041;0.023;-0.003;-0.042;-0.047;-0.043;0.031;-0.128;1.0;-0.067;0.04;0.043;-0.041;0.023;-0.003;-0.042;-0.022;-0.052;0.011;-0.127;1.0;-0.082;-0.044;0.018;-0.034;0.023;-0.003;-0.033;-0.03;-0.041;-0.036;-0.127;1.0;0.088
encoded_label;-0.131;0.077;0.027;-0.062;0.108;0.032;-0.063;0.046;-0.018;0.088;0.084;-0.045;0.045;-0.057;0.108;0.032;-0.056;-0.02;-0.016;-0.014;-0.018;0.088;0.059;-0.027;-0.012;-0.044;0.108;0.032;-0.043;0.061;0.033;-0.047;-0.018;0.088;0.124;0.019;0.018;-0.047;0.108;0.032;-0.044;-0.045;0.018;0.007;-0.018;0.088;0.142;0.186;0.04;-0.046;0.108;0.032;-0.043;-0.018;0.012;0.079;-0.018;0.088;0.068;0.113;0.015;-0.053;0.107;0.032;-0.053;-0.039;-0.029;-0.045;-0.018;0.088;1.0
