;static__case:RequestedAmount;index__timesincemidnight_0;index__month_0;index__weekday_0;index__hour_0;index__open_cases_0;index__timesincelastevent_1;index__timesincecasestart_1;index__timesincemidnight_1;index__month_1;index__weekday_1;index__hour_1;index__open_cases_1;index__timesincelastevent_2;index__timesincecasestart_2;index__timesincemidnight_2;index__month_2;index__weekday_2;index__hour_2;index__open_cases_2;index__timesincelastevent_3;index__timesincecasestart_3;index__timesincemidnight_3;index__month_3;index__weekday_3;index__hour_3;index__open_cases_3;index__timesincelastevent_4;index__timesincecasestart_4;index__timesincemidnight_4;index__month_4;index__weekday_4;index__hour_4;index__open_cases_4;index__FirstWithdrawalAmount_5;index__MonthlyCost_5;index__NumberOfTerms_5;index__OfferedAmount_5;index__timesincelastevent_5;index__timesincecasestart_5;index__timesincemidnight_5;index__month_5;index__weekday_5;index__hour_5;index__open_cases_5;index__FirstWithdrawalAmount_6;index__MonthlyCost_6;index__NumberOfTerms_6;index__OfferedAmount_6;index__timesincelastevent_6;index__timesincecasestart_6;index__timesincemidnight_6;index__month_6;index__weekday_6;index__hour_6;index__open_cases_6;index__FirstWithdrawalAmount_7;index__MonthlyCost_7;index__NumberOfTerms_7;index__OfferedAmount_7;index__timesincelastevent_7;index__timesincecasestart_7;index__timesincemidnight_7;index__month_7;index__weekday_7;index__hour_7;index__open_cases_7;index__FirstWithdrawalAmount_8;index__MonthlyCost_8;index__NumberOfTerms_8;index__OfferedAmount_8;index__timesincelastevent_8;index__timesincecasestart_8;index__timesincemidnight_8;index__month_8;index__weekday_8;index__hour_8;index__open_cases_8;index__FirstWithdrawalAmount_9;index__MonthlyCost_9;index__NumberOfTerms_9;index__OfferedAmount_9;index__timesincelastevent_9;index__timesincecasestart_9;index__timesincemidnight_9;index__month_9;index__weekday_9;index__hour_9;index__open_cases_9;index__FirstWithdrawalAmount_10;index__MonthlyCost_10;index__NumberOfTerms_10;index__OfferedAmount_10;index__timesincelastevent_10;index__timesincecasestart_10;index__timesincemidnight_10;index__month_10;index__weekday_10;index__hour_10;index__open_cases_10;index__FirstWithdrawalAmount_11;index__MonthlyCost_11;index__NumberOfTerms_11;index__OfferedAmount_11;index__timesincelastevent_11;index__timesincecasestart_11;index__timesincemidnight_11;index__month_11;index__weekday_11;index__hour_11;index__open_cases_11;index__FirstWithdrawalAmount_12;index__MonthlyCost_12;index__NumberOfTerms_12;index__OfferedAmount_12;index__timesincelastevent_12;index__timesincecasestart_12;index__timesincemidnight_12;index__month_12;index__weekday_12;index__hour_12;index__open_cases_12;index__FirstWithdrawalAmount_13;index__MonthlyCost_13;index__NumberOfTerms_13;index__OfferedAmount_13;index__timesincelastevent_13;index__timesincecasestart_13;index__timesincemidnight_13;index__month_13;index__weekday_13;index__hour_13;index__open_cases_13;index__FirstWithdrawalAmount_14;index__MonthlyCost_14;index__NumberOfTerms_14;index__OfferedAmount_14;index__timesincelastevent_14;index__timesincecasestart_14;index__timesincemidnight_14;index__month_14;index__weekday_14;index__hour_14;index__open_cases_14;index__FirstWithdrawalAmount_15;index__MonthlyCost_15;index__NumberOfTerms_15;index__OfferedAmount_15;index__timesincelastevent_15;index__timesincecasestart_15;index__timesincemidnight_15;index__month_15;index__weekday_15;index__hour_15;index__open_cases_15;encoded_label
index__timesincelastevent_4;-0.003;-0.036;-0.015;-0.022;-0.036;-0.016;-0.071;-0.071;-0.036;-0.015;-0.022;-0.036;-0.016;-0.075;-0.088;-0.036;-0.015;-0.022;-0.036;-0.016;0.027;0.027;-0.04;-0.015;-0.02;-0.04;-0.016;1.0;0.066;-0.008;-0.015;-0.02;-0.007;-0.016;0.098;0.158;0.173;0.158;0.026;0.048;-0.053;-0.015;-0.019;-0.053;-0.016;0.105;0.164;0.184;0.164;-0.128;-0.104;-0.008;-0.016;0.009;-0.008;-0.016;0.075;0.133;0.153;0.137;0.0;-0.099;-0.009;-0.016;0.008;-0.009;-0.016;0.027;0.078;0.097;0.09;-0.043;-0.098;-0.016;-0.016;0.01;-0.016;-0.017;0.0;0.044;0.059;0.059;-0.003;-0.094;-0.018;-0.016;0.01;-0.018;-0.017;-0.012;0.027;0.04;0.044;-0.024;-0.087;-0.021;-0.016;0.011;-0.021;-0.017;-0.021;0.015;0.025;0.033;0.032;-0.073;0.001;-0.015;0.0;0.002;-0.017;-0.025;0.01;0.018;0.028;-0.013;-0.07;0.004;-0.015;0.001;0.004;-0.017;-0.027;0.007;0.015;0.026;0.139;0.043;-0.036;-0.015;0.0;-0.035;-0.016;-0.028;0.004;0.013;0.024;0.03;0.051;-0.043;-0.014;-0.003;-0.042;-0.016;-0.028;0.006;0.018;0.025;0.087;0.095;-0.049;-0.015;0.001;-0.047;-0.016;0.011
index__timesincecasestart_4;-0.007;0.099;-0.011;0.154;0.099;-0.003;0.023;0.023;0.099;-0.011;0.154;0.099;-0.003;0.04;0.038;0.099;-0.011;0.154;0.099;-0.003;0.999;0.999;-0.22;-0.009;-0.107;-0.218;-0.005;0.066;1.0;-0.218;-0.009;-0.107;-0.216;-0.005;-0.052;-0.08;-0.092;-0.079;-0.031;0.324;-0.225;-0.009;-0.111;-0.222;-0.006;-0.054;-0.085;-0.098;-0.084;-0.132;0.008;-0.23;-0.01;-0.095;-0.228;-0.006;-0.065;-0.101;-0.118;-0.1;-0.017;0.003;-0.232;-0.01;-0.095;-0.23;-0.006;-0.089;-0.138;-0.165;-0.134;-0.047;-0.026;-0.236;-0.01;-0.093;-0.234;-0.006;-0.106;-0.167;-0.207;-0.161;0.232;0.061;-0.051;-0.01;-0.066;-0.05;-0.005;-0.099;-0.163;-0.208;-0.157;-0.025;0.036;-0.05;-0.01;-0.066;-0.049;-0.005;-0.087;-0.14;-0.182;-0.136;0.133;0.073;-0.02;-0.009;-0.059;-0.019;-0.003;-0.073;-0.106;-0.145;-0.105;-0.011;0.062;-0.02;-0.009;-0.057;-0.019;-0.003;-0.063;-0.084;-0.118;-0.085;-0.045;0.02;0.012;-0.009;-0.059;0.012;-0.004;-0.056;-0.065;-0.094;-0.067;-0.018;0.013;0.016;-0.009;-0.058;0.016;-0.004;-0.052;-0.057;-0.08;-0.06;-0.058;-0.042;0.034;-0.009;-0.06;0.033;-0.003;0.057
index__timesincemidnight_4;0.002;0.877;-0.021;-0.022;0.875;-0.035;0.046;0.046;0.877;-0.021;-0.022;0.875;-0.035;0.017;0.038;0.877;-0.021;-0.022;0.875;-0.035;-0.218;-0.218;0.999;-0.021;0.032;0.997;-0.033;-0.008;-0.218;1.0;-0.021;0.032;0.998;-0.033;-0.055;-0.088;-0.095;-0.087;-0.043;-0.117;0.955;-0.021;0.035;0.953;-0.034;-0.059;-0.097;-0.106;-0.096;0.181;0.127;0.336;-0.02;0.033;0.336;-0.041;-0.032;-0.083;-0.096;-0.087;-0.015;0.116;0.333;-0.02;0.034;0.333;-0.041;0.01;-0.044;-0.057;-0.059;0.034;0.105;0.36;-0.02;0.034;0.359;-0.041;0.041;-0.009;-0.018;-0.028;-0.051;0.081;0.265;-0.02;0.032;0.264;-0.042;0.053;-0.003;-0.009;-0.024;0.016;0.072;0.273;-0.02;0.031;0.272;-0.041;0.059;-0.003;-0.007;-0.024;-0.032;0.059;0.255;-0.02;0.029;0.254;-0.042;0.058;-0.005;-0.014;-0.029;0.007;0.055;0.256;-0.02;0.028;0.255;-0.042;0.057;-0.008;-0.019;-0.033;-0.082;-0.014;0.142;-0.021;0.033;0.141;-0.043;0.056;-0.013;-0.027;-0.038;-0.026;-0.022;0.137;-0.022;0.03;0.137;-0.043;0.058;-0.012;-0.028;-0.038;-0.037;-0.04;0.109;-0.024;0.022;0.109;-0.044;-0.011
index__month_4;0.079;-0.025;1.0;-0.003;-0.026;0.619;0.458;0.458;-0.025;1.0;-0.003;-0.026;0.619;-0.087;0.22;-0.025;1.0;-0.003;-0.026;0.619;-0.009;-0.009;-0.021;1.0;-0.001;-0.022;0.619;-0.015;-0.009;-0.021;1.0;-0.001;-0.022;0.619;0.05;0.031;0.017;0.04;-0.004;-0.007;-0.026;1.0;-0.001;-0.026;0.619;0.052;0.031;0.016;0.04;0.004;0.001;-0.013;0.993;0.012;-0.013;0.613;0.067;0.044;0.026;0.05;-0.003;-0.0;-0.013;0.993;0.011;-0.014;0.613;0.09;0.061;0.034;0.067;0.012;0.007;-0.016;0.991;0.012;-0.016;0.611;0.103;0.07;0.041;0.08;-0.001;0.006;-0.02;0.99;0.009;-0.02;0.61;0.108;0.075;0.044;0.087;-0.014;-0.002;-0.026;0.989;0.013;-0.026;0.609;0.11;0.075;0.044;0.088;-0.0;-0.002;-0.028;0.989;0.011;-0.028;0.608;0.11;0.077;0.046;0.09;-0.015;-0.006;-0.031;0.987;0.009;-0.031;0.607;0.11;0.075;0.041;0.088;-0.0;-0.006;-0.037;0.975;0.024;-0.037;0.599;0.109;0.073;0.038;0.087;-0.008;-0.008;-0.037;0.974;0.024;-0.037;0.598;0.109;0.074;0.037;0.088;0.001;-0.003;-0.01;0.948;0.007;-0.01;0.557;0.017
index__weekday_4;0.01;0.004;-0.001;0.923;0.004;-0.008;0.037;0.037;0.004;-0.001;0.923;0.004;-0.008;0.045;0.049;0.004;-0.001;0.923;0.004;-0.008;-0.107;-0.107;0.033;-0.001;1.0;0.033;-0.008;-0.02;-0.107;0.032;-0.001;1.0;0.033;-0.008;-0.043;-0.068;-0.076;-0.066;-0.018;-0.054;0.028;-0.002;0.973;0.029;-0.009;-0.045;-0.075;-0.084;-0.073;0.218;0.19;-0.055;-0.005;0.36;-0.055;-0.013;-0.018;-0.062;-0.074;-0.064;-0.005;0.178;-0.055;-0.005;0.352;-0.055;-0.013;0.017;-0.026;-0.042;-0.036;0.036;0.153;-0.029;-0.006;0.312;-0.029;-0.01;0.039;-0.001;-0.021;-0.014;-0.028;0.135;-0.05;-0.006;0.272;-0.05;-0.011;0.044;0.005;-0.017;-0.01;0.014;0.114;-0.043;-0.006;0.264;-0.043;-0.01;0.045;0.008;-0.015;-0.007;-0.012;0.105;-0.042;-0.007;0.244;-0.042;-0.01;0.045;0.005;-0.018;-0.009;0.004;0.095;-0.038;-0.007;0.242;-0.038;-0.01;0.045;0.003;-0.021;-0.012;-0.071;0.03;-0.026;-0.012;-0.039;-0.026;-0.007;0.045;0.003;-0.026;-0.013;-0.024;0.02;-0.022;-0.012;-0.062;-0.023;-0.006;0.047;0.003;-0.027;-0.012;-0.036;-0.021;-0.011;-0.01;-0.002;-0.012;-0.009;-0.022
index__hour_4;0.002;0.875;-0.022;-0.021;0.877;-0.036;0.046;0.046;0.875;-0.022;-0.021;0.877;-0.036;0.017;0.038;0.875;-0.022;-0.021;0.877;-0.036;-0.216;-0.216;0.997;-0.022;0.033;0.999;-0.034;-0.007;-0.216;0.998;-0.022;0.033;1.0;-0.034;-0.055;-0.087;-0.095;-0.087;-0.043;-0.116;0.953;-0.022;0.035;0.955;-0.035;-0.059;-0.096;-0.106;-0.096;0.181;0.127;0.334;-0.02;0.033;0.335;-0.042;-0.031;-0.083;-0.095;-0.087;-0.015;0.116;0.331;-0.021;0.034;0.332;-0.042;0.01;-0.045;-0.057;-0.059;0.034;0.105;0.358;-0.02;0.035;0.359;-0.042;0.041;-0.008;-0.017;-0.028;-0.052;0.081;0.264;-0.021;0.032;0.264;-0.043;0.053;-0.003;-0.009;-0.024;0.016;0.072;0.272;-0.02;0.031;0.271;-0.042;0.059;-0.002;-0.007;-0.024;-0.033;0.059;0.254;-0.021;0.029;0.253;-0.043;0.058;-0.005;-0.014;-0.029;0.007;0.055;0.255;-0.021;0.028;0.254;-0.043;0.057;-0.008;-0.019;-0.033;-0.082;-0.014;0.142;-0.022;0.034;0.141;-0.044;0.056;-0.013;-0.027;-0.038;-0.026;-0.022;0.137;-0.022;0.031;0.137;-0.044;0.058;-0.012;-0.028;-0.038;-0.037;-0.04;0.109;-0.025;0.022;0.109;-0.045;-0.011
index__open_cases_4;0.041;-0.03;0.619;-0.009;-0.03;1.0;0.092;0.092;-0.03;0.619;-0.009;-0.03;1.0;-0.034;0.034;-0.03;0.619;-0.009;-0.03;1.0;-0.005;-0.005;-0.032;0.619;-0.008;-0.033;1.0;-0.016;-0.005;-0.033;0.619;-0.008;-0.034;1.0;0.038;0.016;0.01;0.024;0.009;0.007;-0.04;0.62;-0.006;-0.041;0.999;0.038;0.018;0.011;0.026;0.075;0.076;-0.061;0.622;0.012;-0.061;0.992;0.069;0.047;0.036;0.05;-0.001;0.071;-0.061;0.623;0.011;-0.061;0.992;0.083;0.06;0.044;0.062;0.019;0.064;-0.061;0.623;0.011;-0.062;0.99;0.089;0.064;0.045;0.067;0.018;0.067;-0.065;0.624;0.011;-0.065;0.988;0.09;0.067;0.047;0.071;-0.008;0.049;-0.07;0.624;0.014;-0.07;0.987;0.088;0.063;0.043;0.07;0.011;0.05;-0.072;0.624;0.01;-0.072;0.986;0.088;0.064;0.041;0.069;-0.021;0.038;-0.076;0.624;0.011;-0.076;0.985;0.085;0.058;0.032;0.064;0.014;0.044;-0.032;0.63;0.006;-0.033;0.975;0.083;0.055;0.029;0.063;-0.0;0.041;-0.031;0.63;0.003;-0.031;0.974;0.08;0.053;0.027;0.062;-0.003;0.016;-0.037;0.635;-0.003;-0.037;0.942;0.005
index__FirstWithdrawalAmount_5;0.099;-0.075;0.051;-0.053;-0.074;0.038;-0.138;-0.138;-0.075;0.051;-0.053;-0.074;0.038;-0.15;-0.174;-0.075;0.051;-0.053;-0.074;0.038;-0.055;-0.055;-0.058;0.05;-0.043;-0.057;0.038;0.098;-0.052;-0.055;0.05;-0.043;-0.055;0.038;1.0;0.575;0.481;0.602;-0.05;-0.066;-0.055;0.05;-0.046;-0.055;0.038;0.97;0.542;0.448;0.566;-0.201;-0.224;0.013;0.05;-0.009;0.013;0.038;0.773;0.457;0.377;0.487;-0.027;-0.22;0.011;0.05;-0.01;0.011;0.038;0.584;0.343;0.275;0.387;-0.068;-0.202;-0.0;0.049;-0.006;-0.001;0.037;0.496;0.284;0.215;0.331;-0.058;-0.213;-0.012;0.049;-0.012;-0.012;0.037;0.454;0.248;0.182;0.3;-0.039;-0.188;-0.018;0.049;-0.011;-0.018;0.036;0.431;0.225;0.154;0.278;-0.039;-0.19;-0.02;0.049;-0.011;-0.02;0.036;0.413;0.213;0.134;0.262;-0.026;-0.179;-0.015;0.049;-0.01;-0.015;0.036;0.397;0.2;0.12;0.25;0.361;0.115;-0.118;0.046;0.006;-0.118;0.04;0.389;0.192;0.109;0.242;-0.033;0.097;-0.115;0.046;0.005;-0.115;0.039;0.38;0.185;0.103;0.236;0.236;0.238;-0.125;0.041;0.027;-0.122;0.025;-0.001
index__MonthlyCost_5;0.102;-0.119;0.031;-0.084;-0.117;0.016;-0.214;-0.214;-0.119;0.031;-0.084;-0.117;0.016;-0.232;-0.269;-0.119;0.031;-0.084;-0.117;0.016;-0.086;-0.086;-0.093;0.031;-0.068;-0.092;0.016;0.158;-0.08;-0.088;0.031;-0.068;-0.087;0.016;0.575;1.0;0.657;0.888;-0.078;-0.101;-0.087;0.031;-0.073;-0.087;0.015;0.552;0.945;0.608;0.835;-0.311;-0.346;0.018;0.03;-0.016;0.018;0.016;0.442;0.806;0.505;0.719;-0.042;-0.34;0.013;0.03;-0.016;0.014;0.016;0.282;0.61;0.352;0.566;-0.1;-0.309;-0.003;0.029;-0.01;-0.003;0.014;0.199;0.516;0.259;0.48;-0.091;-0.328;-0.021;0.029;-0.018;-0.02;0.014;0.159;0.46;0.205;0.432;-0.059;-0.289;-0.03;0.029;-0.016;-0.029;0.013;0.131;0.425;0.158;0.398;-0.06;-0.292;-0.032;0.028;-0.017;-0.032;0.013;0.113;0.408;0.124;0.374;-0.039;-0.275;-0.025;0.028;-0.015;-0.024;0.012;0.1;0.375;0.103;0.357;0.564;0.184;-0.192;0.029;0.004;-0.192;0.022;0.09;0.364;0.082;0.345;-0.046;0.158;-0.188;0.028;0.005;-0.187;0.021;0.084;0.355;0.07;0.337;0.364;0.372;-0.204;0.025;0.034;-0.199;0.009;-0.022
index__NumberOfTerms_5;-0.007;-0.13;0.017;-0.095;-0.129;0.009;-0.246;-0.246;-0.13;0.017;-0.095;-0.129;0.009;-0.265;-0.308;-0.13;0.017;-0.095;-0.129;0.009;-0.098;-0.098;-0.1;0.017;-0.076;-0.099;0.01;0.173;-0.092;-0.095;0.017;-0.076;-0.095;0.01;0.481;0.657;1.0;0.802;-0.089;-0.117;-0.094;0.017;-0.082;-0.094;0.009;0.459;0.611;0.935;0.749;-0.356;-0.397;0.027;0.016;-0.017;0.027;0.009;0.353;0.497;0.796;0.632;-0.048;-0.39;0.022;0.016;-0.017;0.022;0.009;0.197;0.325;0.607;0.472;-0.115;-0.355;0.004;0.015;-0.01;0.003;0.008;0.112;0.226;0.504;0.377;-0.105;-0.376;-0.017;0.015;-0.02;-0.017;0.007;0.071;0.166;0.448;0.323;-0.068;-0.332;-0.027;0.015;-0.017;-0.026;0.006;0.041;0.12;0.405;0.282;-0.069;-0.335;-0.03;0.014;-0.018;-0.03;0.006;0.021;0.09;0.376;0.253;-0.043;-0.315;-0.02;0.014;-0.016;-0.02;0.005;0.008;0.066;0.356;0.233;0.67;0.229;-0.218;0.016;0.002;-0.218;0.018;-0.002;0.048;0.342;0.218;-0.052;0.198;-0.213;0.016;0.002;-0.213;0.017;-0.008;0.037;0.332;0.208;0.411;0.428;-0.237;0.015;0.026;-0.232;0.009;-0.028
index__OfferedAmount_5;0.155;-0.118;0.041;-0.082;-0.117;0.024;-0.212;-0.212;-0.118;0.041;-0.082;-0.117;0.024;-0.229;-0.266;-0.118;0.041;-0.082;-0.117;0.024;-0.085;-0.085;-0.092;0.04;-0.066;-0.091;0.024;0.158;-0.079;-0.087;0.04;-0.066;-0.087;0.024;0.602;0.888;0.802;1.0;-0.077;-0.1;-0.087;0.04;-0.071;-0.086;0.023;0.579;0.838;0.749;0.943;-0.307;-0.343;0.017;0.039;-0.015;0.017;0.024;0.463;0.711;0.635;0.818;-0.041;-0.336;0.012;0.039;-0.015;0.013;0.024;0.301;0.535;0.475;0.659;-0.097;-0.305;-0.003;0.039;-0.009;-0.004;0.022;0.217;0.443;0.385;0.572;-0.09;-0.323;-0.021;0.039;-0.018;-0.021;0.022;0.176;0.389;0.336;0.524;-0.058;-0.285;-0.03;0.038;-0.016;-0.029;0.021;0.148;0.353;0.296;0.491;-0.059;-0.288;-0.033;0.038;-0.016;-0.032;0.021;0.129;0.334;0.268;0.467;-0.038;-0.271;-0.025;0.038;-0.014;-0.025;0.021;0.116;0.316;0.251;0.451;0.563;0.187;-0.189;0.038;0.003;-0.189;0.03;0.107;0.304;0.236;0.44;-0.044;0.162;-0.185;0.038;0.003;-0.185;0.029;0.101;0.296;0.227;0.433;0.353;0.363;-0.196;0.034;0.028;-0.191;0.018;-0.025
index__timesincelastevent_5;0.017;-0.053;-0.004;-0.024;-0.053;0.009;-0.085;-0.085;-0.053;-0.004;-0.024;-0.053;0.009;-0.087;-0.104;-0.053;-0.004;-0.024;-0.053;0.009;-0.032;-0.032;-0.043;-0.004;-0.018;-0.044;0.009;0.026;-0.031;-0.043;-0.004;-0.018;-0.043;0.009;-0.05;-0.078;-0.089;-0.077;1.0;0.936;-0.071;-0.003;-0.024;-0.07;0.016;-0.044;-0.043;-0.044;-0.041;-0.12;0.28;-0.034;-0.003;-0.001;-0.034;0.016;-0.047;0.01;0.023;0.017;0.199;0.324;-0.017;-0.003;-0.006;-0.016;0.018;-0.065;0.026;0.054;0.048;-0.034;0.219;-0.021;-0.003;-0.004;-0.02;0.017;-0.079;0.016;0.051;0.044;0.027;0.218;-0.024;-0.002;-0.008;-0.024;0.018;-0.086;0.019;0.062;0.05;-0.019;0.163;-0.024;-0.003;-0.007;-0.024;0.017;-0.093;0.016;0.057;0.049;0.003;0.156;-0.025;-0.003;-0.006;-0.025;0.017;-0.097;0.018;0.063;0.053;-0.011;0.137;-0.028;-0.003;-0.006;-0.027;0.017;-0.1;0.014;0.062;0.05;-0.072;0.065;-0.004;-0.003;-0.008;-0.003;0.016;-0.102;0.016;0.068;0.054;0.074;0.087;-0.006;-0.001;-0.014;-0.006;0.016;-0.104;0.014;0.067;0.052;-0.024;0.017;-0.009;-0.001;-0.016;-0.009;0.021;-0.028
index__timesincecasestart_5;0.014;-0.016;-0.007;0.032;-0.016;0.007;-0.072;-0.072;-0.016;-0.007;0.032;-0.016;0.007;-0.069;-0.085;-0.016;-0.007;0.032;-0.016;0.007;0.322;0.322;-0.119;-0.007;-0.054;-0.118;0.007;0.048;0.324;-0.117;-0.007;-0.054;-0.116;0.007;-0.066;-0.101;-0.117;-0.1;0.936;1.0;-0.146;-0.006;-0.062;-0.145;0.013;-0.06;-0.07;-0.076;-0.069;-0.16;0.268;-0.113;-0.006;-0.035;-0.112;0.014;-0.067;-0.026;-0.02;-0.019;0.183;0.307;-0.098;-0.006;-0.039;-0.096;0.015;-0.093;-0.024;-0.007;-0.002;-0.049;0.198;-0.103;-0.006;-0.037;-0.102;0.014;-0.112;-0.044;-0.025;-0.015;0.107;0.227;-0.041;-0.006;-0.031;-0.04;0.015;-0.117;-0.04;-0.015;-0.008;-0.027;0.167;-0.041;-0.006;-0.029;-0.04;0.015;-0.118;-0.034;-0.01;-0.002;0.05;0.174;-0.031;-0.006;-0.026;-0.03;0.015;-0.117;-0.02;0.008;0.013;-0.015;0.151;-0.033;-0.006;-0.026;-0.032;0.015;-0.117;-0.016;0.017;0.018;-0.084;0.068;0.001;-0.006;-0.028;0.001;0.014;-0.116;-0.008;0.031;0.027;0.064;0.087;-0.0;-0.004;-0.034;0.0;0.014;-0.116;-0.007;0.035;0.028;-0.043;0.002;0.003;-0.004;-0.037;0.003;0.018;-0.006
index__timesincemidnight_5;0.005;0.833;-0.025;-0.026;0.831;-0.042;0.04;0.04;0.833;-0.025;-0.026;0.831;-0.042;0.01;0.03;0.833;-0.025;-0.026;0.831;-0.042;-0.223;-0.223;0.956;-0.026;0.028;0.954;-0.04;-0.053;-0.225;0.955;-0.026;0.028;0.953;-0.04;-0.055;-0.087;-0.094;-0.087;-0.071;-0.146;1.0;-0.026;0.024;0.998;-0.04;-0.058;-0.094;-0.102;-0.093;0.173;0.107;0.391;-0.024;0.024;0.391;-0.048;-0.031;-0.08;-0.09;-0.082;-0.002;0.1;0.371;-0.024;0.027;0.37;-0.048;0.009;-0.044;-0.053;-0.056;0.032;0.093;0.397;-0.024;0.027;0.396;-0.048;0.038;-0.007;-0.012;-0.024;-0.05;0.07;0.3;-0.024;0.024;0.299;-0.048;0.049;-0.001;-0.002;-0.019;0.015;0.063;0.307;-0.024;0.023;0.305;-0.048;0.055;-0.001;-0.001;-0.019;-0.034;0.05;0.284;-0.024;0.022;0.282;-0.049;0.055;-0.004;-0.007;-0.025;0.006;0.047;0.285;-0.025;0.022;0.284;-0.048;0.054;-0.006;-0.011;-0.027;-0.082;-0.021;0.167;-0.026;0.028;0.166;-0.05;0.054;-0.011;-0.018;-0.032;-0.019;-0.027;0.158;-0.026;0.026;0.157;-0.05;0.055;-0.01;-0.019;-0.032;-0.037;-0.042;0.12;-0.028;0.021;0.12;-0.051;-0.013
index__month_5;0.079;-0.025;0.999;-0.003;-0.026;0.62;0.458;0.458;-0.025;0.999;-0.003;-0.026;0.62;-0.087;0.22;-0.025;0.999;-0.003;-0.026;0.62;-0.009;-0.009;-0.021;1.0;-0.002;-0.022;0.62;-0.015;-0.009;-0.021;1.0;-0.002;-0.022;0.62;0.05;0.031;0.017;0.04;-0.003;-0.006;-0.026;1.0;-0.0;-0.026;0.619;0.052;0.031;0.016;0.04;0.004;0.001;-0.013;0.993;0.013;-0.013;0.613;0.067;0.044;0.026;0.051;-0.003;0.0;-0.013;0.993;0.011;-0.014;0.613;0.09;0.061;0.034;0.068;0.012;0.007;-0.016;0.991;0.012;-0.016;0.611;0.103;0.071;0.042;0.08;-0.0;0.007;-0.02;0.991;0.01;-0.02;0.61;0.107;0.075;0.045;0.087;-0.014;-0.002;-0.026;0.99;0.013;-0.026;0.609;0.11;0.075;0.045;0.088;0.0;-0.002;-0.028;0.989;0.011;-0.028;0.608;0.11;0.077;0.046;0.09;-0.015;-0.006;-0.031;0.988;0.009;-0.031;0.607;0.11;0.074;0.042;0.088;-0.0;-0.005;-0.036;0.975;0.025;-0.037;0.6;0.109;0.073;0.038;0.087;-0.007;-0.008;-0.037;0.974;0.024;-0.037;0.598;0.108;0.073;0.038;0.088;0.001;-0.003;-0.01;0.949;0.007;-0.01;0.557;0.017
index__weekday_5;0.017;0.005;-0.001;0.896;0.005;-0.006;0.031;0.031;0.005;-0.001;0.896;0.005;-0.006;0.039;0.043;0.005;-0.001;0.896;0.005;-0.006;-0.111;-0.111;0.035;-0.001;0.973;0.035;-0.006;-0.019;-0.111;0.035;-0.001;0.973;0.035;-0.006;-0.046;-0.073;-0.082;-0.071;-0.024;-0.062;0.024;-0.0;1.0;0.025;-0.007;-0.048;-0.078;-0.088;-0.076;0.212;0.18;-0.057;-0.003;0.389;-0.056;-0.011;-0.021;-0.06;-0.071;-0.06;0.013;0.174;-0.057;-0.003;0.376;-0.057;-0.011;0.012;-0.022;-0.036;-0.029;0.035;0.149;-0.031;-0.004;0.337;-0.031;-0.009;0.034;0.002;-0.016;-0.008;-0.025;0.133;-0.052;-0.005;0.295;-0.052;-0.009;0.039;0.01;-0.01;-0.002;0.014;0.112;-0.045;-0.005;0.288;-0.046;-0.008;0.039;0.011;-0.009;-0.001;-0.011;0.103;-0.045;-0.006;0.267;-0.045;-0.008;0.039;0.008;-0.011;-0.003;0.004;0.094;-0.04;-0.005;0.266;-0.041;-0.008;0.039;0.006;-0.015;-0.006;-0.075;0.026;-0.027;-0.01;-0.018;-0.027;-0.005;0.038;0.005;-0.019;-0.007;-0.021;0.017;-0.024;-0.01;-0.046;-0.025;-0.004;0.041;0.005;-0.021;-0.006;-0.037;-0.023;-0.011;-0.009;0.002;-0.013;-0.007;-0.022
index__hour_5;0.005;0.832;-0.026;-0.025;0.833;-0.043;0.04;0.04;0.832;-0.026;-0.025;0.833;-0.043;0.01;0.03;0.832;-0.026;-0.025;0.833;-0.043;-0.221;-0.221;0.954;-0.026;0.029;0.956;-0.041;-0.053;-0.222;0.953;-0.026;0.029;0.955;-0.041;-0.055;-0.087;-0.094;-0.086;-0.07;-0.145;0.998;-0.026;0.025;1.0;-0.041;-0.058;-0.094;-0.101;-0.093;0.173;0.107;0.389;-0.025;0.024;0.391;-0.049;-0.031;-0.08;-0.089;-0.082;-0.003;0.101;0.369;-0.025;0.027;0.37;-0.049;0.008;-0.044;-0.053;-0.056;0.032;0.093;0.395;-0.025;0.027;0.396;-0.049;0.038;-0.007;-0.012;-0.024;-0.051;0.069;0.299;-0.025;0.025;0.299;-0.049;0.049;-0.001;-0.002;-0.019;0.015;0.063;0.305;-0.025;0.024;0.305;-0.049;0.055;-0.001;-0.0;-0.019;-0.035;0.049;0.283;-0.025;0.023;0.283;-0.049;0.055;-0.004;-0.007;-0.024;0.007;0.047;0.284;-0.025;0.022;0.284;-0.049;0.054;-0.005;-0.011;-0.027;-0.083;-0.021;0.167;-0.026;0.029;0.166;-0.051;0.053;-0.011;-0.018;-0.032;-0.019;-0.027;0.158;-0.027;0.027;0.157;-0.051;0.054;-0.01;-0.019;-0.032;-0.036;-0.042;0.12;-0.029;0.021;0.12;-0.052;-0.013
