;static__Diagnose_B;static__Diagnose_C;static__Diagnose_D;static__Diagnose_E;static__Diagnose_G;static__Diagnose_H;static__Diagnose_K;static__Diagnose_N;static__Diagnose_Q;static__Diagnose_R;static__Diagnose_S;static__Diagnose_other;static__DiagnosticArtAstrup_False;static__DiagnosticArtAstrup_True;static__DiagnosticArtAstrup_other;static__DiagnosticBlood_False;static__DiagnosticBlood_True;static__DiagnosticBlood_other;static__DiagnosticECG_False;static__DiagnosticECG_True;static__DiagnosticECG_other;static__DiagnosticIC_False;static__DiagnosticIC_True;static__DiagnosticIC_other;static__DiagnosticLacticAcid_False;static__DiagnosticLacticAcid_True;static__DiagnosticLacticAcid_other;static__DiagnosticLiquor_False;static__DiagnosticLiquor_other;static__DiagnosticOther_False;static__DiagnosticOther_other;static__DiagnosticSputum_False;static__DiagnosticSputum_True;static__DiagnosticSputum_other;static__DiagnosticUrinaryCulture_False;static__DiagnosticUrinaryCulture_True;static__DiagnosticUrinaryCulture_other;static__DiagnosticUrinarySediment_False;static__DiagnosticUrinarySediment_True;static__DiagnosticUrinarySediment_other;static__DiagnosticXthorax_False;static__DiagnosticXthorax_True;static__DiagnosticXthorax_other;static__DisfuncOrg_False;static__DisfuncOrg_True;static__DisfuncOrg_other;static__Hypotensie_False;static__Hypotensie_True;static__Hypotensie_other;static__Hypoxie_False;static__Hypoxie_True;static__Hypoxie_other;static__InfectionSuspected_False;static__InfectionSuspected_True;static__InfectionSuspected_other;static__Infusion_False;static__Infusion_True;static__Infusion_other;static__Oligurie_False;static__Oligurie_True;static__Oligurie_other;static__SIRSCritHeartRate_False;static__SIRSCritHeartRate_True;static__SIRSCritHeartRate_other;static__SIRSCritLeucos_False;static__SIRSCritLeucos_True;static__SIRSCritLeucos_other;static__SIRSCritTachypnea_False;static__SIRSCritTachypnea_True;static__SIRSCritTachypnea_other;static__SIRSCritTemperature_False;static__SIRSCritTemperature_True;static__SIRSCritTemperature_other;static__SIRSCriteria2OrMore_False;static__SIRSCriteria2OrMore_True;static__SIRSCriteria2OrMore_other;index__concept:name_0_CRP;index__concept:name_0_ER Registration;index__concept:name_0_ER Sepsis Triage;index__concept:name_0_ER Triage;index__concept:name_0_IV Liquid;index__concept:name_0_Leucocytes;index__concept:name_1_CRP;index__concept:name_1_ER Registration;index__concept:name_1_ER Sepsis Triage;index__concept:name_1_ER Triage;index__concept:name_1_IV Antibiotics;index__concept:name_1_IV Liquid;index__concept:name_1_LacticAcid;index__concept:name_1_Leucocytes;index__concept:name_2_CRP;index__concept:name_2_ER Registration;index__concept:name_2_ER Sepsis Triage;index__concept:name_2_ER Triage;index__concept:name_2_IV Antibiotics;index__concept:name_2_IV Liquid;index__concept:name_2_LacticAcid;index__concept:name_2_Leucocytes;index__concept:name_3_CRP;index__concept:name_3_ER Registration;index__concept:name_3_ER Sepsis Triage;index__concept:name_3_ER Triage;index__concept:name_3_IV Antibiotics;index__concept:name_3_IV Liquid;index__concept:name_3_LacticAcid;index__concept:name_3_Leucocytes;index__concept:name_4_Admission NC;index__concept:name_4_CRP;index__concept:name_4_ER Sepsis Triage;index__concept:name_4_ER Triage;index__concept:name_4_IV Antibiotics;index__concept:name_4_IV Liquid;index__concept:name_4_LacticAcid;index__concept:name_4_Leucocytes;index__concept:name_5_Admission IC;index__concept:name_5_Admission NC;index__concept:name_5_CRP;index__concept:name_5_ER Sepsis Triage;index__concept:name_5_ER Triage;index__concept:name_5_IV Antibiotics;index__concept:name_5_IV Liquid;index__concept:name_5_LacticAcid;index__concept:name_5_Leucocytes;index__concept:name_5_Release A;index__org:group_0_A;index__org:group_0_B;index__org:group_0_C;index__org:group_0_L;index__org:group_1_A;index__org:group_1_B;index__org:group_1_C;index__org:group_1_L;index__org:group_2_A;index__org:group_2_B;index__org:group_2_C;index__org:group_2_L;index__org:group_3_A;index__org:group_3_B;index__org:group_3_C;index__org:group_3_L;index__org:group_4_A;index__org:group_4_B;index__org:group_4_C;index__org:group_4_F;index__org:group_4_H;index__org:group_4_L;index__org:group_4_S;index__org:group_4_T;index__org:group_4_V;index__org:group_5_A;index__org:group_5_B;index__org:group_5_C;index__org:group_5_D;index__org:group_5_E;index__org:group_5_F;index__org:group_5_G;index__org:group_5_H;index__org:group_5_J;index__org:group_5_K;index__org:group_5_L;index__org:group_5_M;index__org:group_5_O;index__org:group_5_P;index__org:group_5_Q;index__org:group_5_R;index__org:group_5_S;index__org:group_5_T;index__org:group_5_U;index__org:group_5_V;index__org:group_5_W;encoded_label
index__concept:name_1_CRP;-0.001;-0.009;-0.034;0.064;-0.019;0.003;0.09;0.036;-0.026;-0.033;-0.025;-0.023;-0.067;0.08;-0.019;-0.057;0.061;-0.019;-0.025;0.034;-0.019;-0.049;0.053;-0.019;-0.026;0.034;-0.019;0.024;-0.024;0.023;-0.023;0.036;-0.034;-0.019;0.042;-0.033;-0.019;0.045;-0.036;-0.019;-0.053;0.059;-0.019;-0.029;0.056;-0.019;0.01;0.005;-0.019;0.005;0.023;-0.019;-0.048;0.052;-0.019;-0.044;0.05;-0.019;0.011;0.009;-0.019;-0.032;0.039;-0.019;0.024;-0.014;-0.019;-0.032;0.04;-0.019;0.006;0.006;-0.019;-0.046;0.051;-0.019;-0.031;0.019;-0.016;0.079;-0.025;-0.014;1.0;-0.036;-0.019;-0.521;-0.007;-0.034;-0.007;-0.029;-0.07;-0.029;-0.361;-0.049;-0.01;-0.019;0.947;0.266;-0.222;-0.01;-0.043;0.09;-0.037;-0.098;-0.064;0.722;-0.021;-0.085;0.071;0.827;-0.066;0.018;-0.192;-0.072;-0.016;-0.052;-0.077;0.443;0.179;0.032;0.003;-0.064;-0.196;-0.013;-0.065;-0.034;0.079;0.085;-0.054;0.79;-0.521;-0.007;-0.355;0.483;-0.049;-0.04;-0.117;0.088;0.09;-0.027;-0.026;-0.38;0.827;-0.01;-0.007;0.052;-0.007;-0.007;-0.013;0.354;-0.343;0.179;-0.01;-0.013;-0.023;-0.021;-0.01;-0.018;-0.007;0.288;-0.013;-0.01;-0.007;-0.013;-0.018;-0.01;-0.01;-0.007;-0.01;-0.01;-0.01
index__concept:name_1_ER Registration;0.014;-0.028;-0.031;-0.053;0.089;-0.016;-0.03;0.112;0.035;-0.029;0.038;-0.006;-0.248;-0.113;0.738;-0.069;-0.376;0.738;-0.084;-0.32;0.738;-0.062;-0.404;0.738;-0.074;-0.356;0.738;-0.696;0.696;-0.704;0.704;-0.596;-0.03;0.738;-0.166;-0.173;0.738;-0.153;-0.187;0.738;-0.08;-0.336;0.738;-0.484;-0.047;0.738;-0.493;-0.045;0.738;-0.634;-0.024;0.738;-0.062;-0.406;0.738;-0.073;-0.359;0.738;-0.601;-0.029;0.738;-0.077;-0.344;0.738;-0.527;-0.04;0.738;-0.129;-0.221;0.738;-0.077;-0.345;0.738;-0.061;-0.412;0.738;0.022;-0.738;0.358;0.299;0.702;0.403;-0.036;1.0;-0.017;-0.464;-0.006;-0.03;-0.006;-0.026;-0.062;-0.026;-0.269;0.632;-0.009;-0.017;-0.034;-0.013;-0.153;-0.009;0.58;-0.03;-0.033;-0.011;-0.057;-0.044;-0.018;0.131;-0.034;-0.036;0.141;0.131;-0.126;-0.08;-0.014;-0.046;0.177;-0.066;-0.006;0.041;-0.032;0.116;-0.13;-0.011;-0.169;0.194;0.299;-0.039;0.667;-0.045;-0.464;-0.006;-0.264;-0.074;0.632;-0.036;0.256;-0.225;-0.03;-0.024;0.159;-0.113;-0.036;-0.009;-0.006;-0.017;-0.006;-0.006;-0.011;-0.057;0.083;-0.006;-0.009;-0.011;-0.02;-0.018;-0.009;-0.016;-0.006;-0.016;-0.011;-0.009;-0.006;-0.011;-0.016;-0.009;-0.009;-0.006;-0.009;-0.009;-0.009
index__concept:name_1_ER Sepsis Triage;-0.032;0.06;-0.016;-0.028;0.037;0.031;-0.016;-0.011;-0.012;-0.016;-0.012;-0.02;-0.046;0.06;-0.023;-0.037;0.045;-0.023;-0.045;0.053;-0.023;-0.033;0.042;-0.023;-0.001;0.014;-0.023;0.025;-0.025;-0.033;0.033;-0.021;0.068;-0.023;0.021;-0.01;-0.023;0.029;-0.018;-0.023;-0.043;0.051;-0.023;-0.007;0.03;-0.023;-0.008;0.033;-0.023;0.027;-0.013;-0.023;-0.033;0.042;-0.023;-0.039;0.048;-0.023;-0.021;0.07;-0.023;-0.041;0.05;-0.023;0.032;-0.021;-0.023;-0.04;0.05;-0.023;0.034;-0.017;-0.023;-0.032;0.042;-0.023;-0.015;0.023;-0.008;-0.007;-0.012;-0.007;-0.019;-0.017;1.0;-0.248;-0.003;-0.016;-0.003;-0.014;-0.033;-0.014;-0.172;0.212;0.533;0.135;-0.018;-0.007;-0.078;-0.005;-0.02;0.152;0.134;0.023;-0.03;-0.024;-0.01;0.111;-0.018;0.052;0.014;-0.014;-0.064;-0.043;-0.008;-0.025;0.045;-0.035;-0.003;-0.011;-0.017;0.076;-0.038;-0.006;-0.023;-0.016;-0.007;0.045;0.301;-0.024;-0.248;0.376;-0.073;-0.04;0.212;-0.019;0.039;-0.116;0.152;0.089;-0.001;-0.019;0.052;-0.005;-0.003;-0.009;-0.003;-0.003;-0.006;-0.041;0.054;-0.003;-0.005;-0.006;-0.011;-0.01;-0.005;-0.008;-0.003;-0.008;-0.006;-0.005;-0.003;-0.006;-0.008;-0.005;-0.005;-0.003;-0.005;-0.005;-0.005
index__concept:name_1_ER Triage;0.052;-0.015;0.043;-0.014;-0.044;0.021;-0.031;-0.058;-0.01;0.063;0.017;-0.016;0.242;0.065;-0.63;0.125;0.263;-0.63;0.132;0.219;-0.63;0.122;0.287;-0.63;0.116;0.258;-0.63;0.588;-0.588;0.612;-0.612;0.5;0.041;-0.63;0.141;0.148;-0.63;0.119;0.171;-0.63;0.13;0.231;-0.63;0.462;-0.024;-0.63;0.437;0.017;-0.63;0.555;-0.006;-0.63;0.121;0.289;-0.63;0.136;0.242;-0.63;0.519;0.014;-0.63;0.114;0.251;-0.63;0.426;0.068;-0.63;0.147;0.152;-0.63;0.081;0.281;-0.63;0.118;0.296;-0.63;-0.401;0.63;-0.209;-0.187;-0.326;-0.187;-0.521;-0.464;-0.248;1.0;-0.093;-0.434;-0.093;-0.377;0.133;-0.377;0.647;-0.637;-0.132;-0.045;-0.494;-0.187;0.364;-0.132;-0.519;-0.434;-0.014;0.129;0.122;-0.349;0.039;-0.083;-0.305;-0.521;-0.08;-0.052;0.306;0.162;0.031;0.051;-0.175;-0.168;-0.093;-0.116;-0.042;-0.07;0.298;0.024;0.33;-0.444;-0.187;-0.009;-0.697;-0.66;1.0;-0.093;0.464;-0.177;-0.637;0.057;-0.157;0.294;-0.434;0.023;-0.236;0.455;-0.521;0.02;0.014;-0.045;0.014;0.014;0.024;-0.172;0.154;-0.093;0.02;0.024;0.044;0.001;0.02;0.034;0.014;-0.186;0.024;-0.056;0.014;0.024;0.034;-0.056;0.02;0.014;0.02;0.02;0.02
index__concept:name_1_IV Antibiotics;-0.012;-0.017;-0.006;-0.011;-0.009;-0.009;-0.006;-0.004;-0.005;-0.006;-0.005;0.045;-0.05;-0.023;0.148;-0.014;-0.076;0.148;-0.017;-0.064;0.148;-0.013;-0.081;0.148;-0.015;-0.072;0.148;-0.14;0.14;-0.141;0.141;-0.12;-0.006;0.148;-0.033;-0.035;0.148;-0.031;-0.038;0.148;-0.016;-0.068;0.148;-0.097;-0.009;0.148;-0.099;-0.009;0.148;-0.128;-0.005;0.148;-0.012;-0.082;0.148;-0.015;-0.072;0.148;-0.121;-0.006;0.148;-0.016;-0.069;0.148;-0.106;-0.008;0.148;-0.026;-0.044;0.148;-0.015;-0.069;0.148;-0.012;-0.083;0.148;-0.006;-0.148;0.446;-0.003;-0.005;-0.003;-0.007;-0.006;-0.003;-0.093;1.0;-0.006;-0.001;-0.005;-0.012;-0.005;-0.065;-0.009;-0.002;0.376;-0.007;-0.003;-0.04;0.707;-0.008;-0.006;-0.007;-0.017;-0.011;-0.009;-0.004;-0.015;-0.007;0.179;-0.012;-0.005;-0.034;-0.016;-0.003;-0.009;0.094;-0.013;-0.001;-0.004;-0.006;-0.015;-0.035;-0.002;0.011;-0.006;-0.003;-0.008;0.134;-0.009;-0.093;-0.001;0.02;-0.015;-0.009;-0.007;0.062;-0.055;-0.006;-0.005;-0.015;-0.071;0.179;-0.002;-0.001;-0.003;-0.001;-0.001;-0.002;-0.016;0.02;-0.001;-0.002;-0.002;-0.004;-0.004;-0.002;-0.003;-0.001;-0.003;-0.002;-0.002;-0.001;-0.002;-0.003;-0.002;-0.002;-0.001;-0.002;-0.002;-0.002
index__concept:name_1_IV Liquid;-0.056;0.105;0.019;0.039;0.03;-0.011;-0.028;-0.019;-0.022;-0.027;-0.021;-0.052;0.07;-0.053;-0.041;-0.041;0.059;-0.041;-0.058;0.075;-0.041;-0.058;0.074;-0.041;-0.069;0.084;-0.041;0.043;-0.043;0.042;-0.042;0.05;-0.028;-0.041;-0.043;0.062;-0.041;-0.03;0.048;-0.041;-0.032;0.051;-0.041;-0.012;0.053;-0.041;0.011;0.024;-0.041;0.017;0.037;-0.041;-0.058;0.074;-0.041;-0.068;0.083;-0.041;0.05;-0.027;-0.041;-0.029;0.048;-0.041;0.057;-0.037;-0.041;-0.003;0.022;-0.041;-0.05;0.067;-0.041;-0.057;0.073;-0.041;-0.026;0.041;-0.013;-0.012;-0.021;-0.012;-0.034;-0.03;-0.016;-0.434;-0.006;1.0;-0.006;-0.024;-0.058;-0.024;-0.263;0.612;-0.008;-0.016;-0.032;-0.012;-0.121;-0.008;0.546;-0.028;0.057;-0.081;-0.053;-0.041;-0.017;0.106;-0.032;0.049;0.132;-0.024;-0.096;-0.075;-0.013;-0.043;0.15;-0.061;-0.006;-0.02;-0.03;0.089;-0.083;-0.01;0.049;-0.029;-0.012;-0.036;0.622;-0.042;-0.434;-0.006;-0.258;-0.069;0.612;-0.034;0.214;-0.186;-0.028;-0.023;0.09;-0.093;0.049;-0.008;-0.006;-0.016;-0.006;-0.006;-0.01;-0.072;0.094;-0.006;-0.008;-0.01;-0.019;-0.017;-0.008;-0.015;-0.006;-0.015;-0.01;-0.008;-0.006;-0.01;-0.015;-0.008;-0.008;-0.006;-0.008;-0.008;-0.008
index__concept:name_1_LacticAcid;-0.012;-0.017;-0.006;-0.011;-0.009;-0.009;-0.006;-0.004;0.275;-0.006;-0.005;-0.029;-0.05;-0.023;0.148;-0.014;-0.076;0.148;-0.017;-0.064;0.148;-0.013;-0.081;0.148;-0.015;-0.072;0.148;-0.14;0.14;-0.141;0.141;-0.12;-0.006;0.148;-0.033;-0.035;0.148;-0.031;-0.038;0.148;-0.016;-0.068;0.148;-0.097;-0.009;0.148;-0.099;-0.009;0.148;-0.128;-0.005;0.148;-0.012;-0.082;0.148;-0.015;-0.072;0.148;-0.121;-0.006;0.148;-0.016;-0.069;0.148;-0.106;-0.008;0.148;-0.026;-0.044;0.148;-0.015;-0.069;0.148;-0.012;-0.083;0.148;0.233;-0.148;-0.003;-0.003;-0.005;-0.003;-0.007;-0.006;-0.003;-0.093;-0.001;-0.006;1.0;-0.005;-0.012;-0.005;-0.065;-0.009;-0.002;-0.003;-0.007;0.499;-0.04;0.707;-0.008;-0.006;-0.007;-0.017;-0.011;-0.009;-0.004;-0.015;-0.007;0.179;-0.012;-0.005;-0.034;-0.016;-0.003;-0.009;-0.014;0.098;-0.001;-0.004;-0.006;-0.015;-0.035;-0.002;-0.123;0.21;-0.003;-0.008;-0.01;0.141;-0.093;-0.001;-0.064;0.087;-0.009;-0.007;0.062;-0.055;-0.006;-0.005;-0.015;-0.071;0.179;-0.002;-0.001;-0.003;-0.001;-0.001;-0.002;0.083;-0.064;-0.001;-0.002;-0.002;-0.004;-0.004;-0.002;-0.003;-0.001;-0.003;-0.002;-0.002;-0.001;-0.002;-0.003;-0.002;-0.002;-0.001;-0.002;-0.002;-0.002
index__concept:name_1_Leucocytes;-0.049;-0.069;-0.025;-0.009;-0.035;-0.038;0.032;-0.017;-0.019;-0.024;-0.018;0.144;-0.201;-0.092;0.599;-0.056;-0.305;0.599;-0.069;-0.26;0.599;-0.051;-0.328;0.599;-0.06;-0.289;0.599;-0.565;0.565;-0.571;0.571;-0.484;-0.024;0.599;-0.135;-0.14;0.599;-0.124;-0.152;0.599;-0.065;-0.273;0.599;-0.393;-0.038;0.599;-0.401;-0.037;0.599;-0.515;-0.02;0.599;-0.05;-0.329;0.599;-0.059;-0.292;0.599;-0.488;-0.024;0.599;-0.063;-0.279;0.599;-0.428;-0.033;0.599;-0.105;-0.179;0.599;-0.063;-0.28;0.599;-0.049;-0.334;0.599;0.942;-0.599;-0.012;-0.01;-0.018;-0.01;-0.029;-0.026;-0.014;-0.377;-0.005;-0.024;-0.005;1.0;-0.05;1.0;-0.261;-0.036;-0.007;-0.014;-0.028;-0.01;-0.161;-0.007;-0.031;0.87;-0.027;-0.071;-0.046;-0.036;-0.015;-0.036;0.715;-0.029;-0.048;-0.021;-0.139;-0.065;-0.012;0.076;0.08;-0.053;-0.005;0.213;0.184;-0.034;-0.142;-0.009;-0.497;0.849;-0.01;-0.032;-0.039;0.571;-0.377;-0.005;0.061;-0.06;-0.036;0.018;-0.085;-0.222;0.87;-0.02;0.302;-0.264;-0.029;-0.007;-0.005;0.082;-0.005;-0.005;-0.009;0.087;-0.131;-0.005;-0.007;-0.009;-0.017;0.075;-0.007;-0.013;-0.005;0.091;-0.009;0.171;-0.005;-0.009;-0.013;0.171;-0.007;-0.005;-0.007;-0.007;-0.007
index__concept:name_2_CRP;0.05;-0.047;0.016;0.021;-0.028;-0.039;-0.032;-0.003;0.02;0.049;0.058;-0.003;-0.023;0.066;-0.084;0.028;0.025;-0.084;0.01;0.037;-0.084;0.013;0.041;-0.084;0.022;0.028;-0.084;0.072;-0.072;0.088;-0.088;0.059;0.019;-0.084;0.047;-0.008;-0.084;0.042;-0.003;-0.084;-0.008;0.054;-0.084;0.038;0.028;-0.084;0.074;-0.018;-0.084;0.066;0.016;-0.084;0.028;0.028;-0.084;0.025;0.026;-0.084;0.057;0.023;-0.084;0.022;0.027;-0.084;0.022;0.059;-0.084;-0.047;0.085;-0.084;0.092;-0.035;-0.084;0.019;0.036;-0.084;-0.053;0.084;-0.028;-0.025;-0.043;-0.025;-0.07;-0.062;-0.033;0.133;-0.012;-0.058;-0.012;-0.05;1.0;-0.05;-0.623;-0.085;-0.018;-0.033;-0.066;-0.025;-0.383;-0.018;-0.074;-0.058;-0.065;-0.169;0.917;0.128;0.006;-0.147;0.139;-0.07;-0.114;-0.05;-0.314;0.641;0.024;0.015;-0.133;0.724;-0.012;-0.006;0.155;-0.143;-0.338;-0.022;0.086;-0.059;-0.025;-0.055;-0.093;-0.088;0.133;-0.012;-0.612;0.834;-0.085;-0.07;-0.202;0.227;-0.058;-0.047;-0.036;0.072;-0.07;0.065;-0.012;-0.033;-0.012;-0.012;-0.022;0.71;-0.618;-0.012;-0.018;-0.022;0.071;-0.035;-0.018;-0.031;-0.012;0.017;-0.022;-0.018;0.104;-0.022;0.017;-0.018;0.065;-0.012;0.065;-0.018;-0.018
index__concept:name_2_ER Registration;-0.049;-0.069;-0.025;-0.009;-0.035;-0.038;0.032;-0.017;-0.019;-0.024;-0.018;0.144;-0.201;-0.092;0.599;-0.056;-0.305;0.599;-0.069;-0.26;0.599;-0.051;-0.328;0.599;-0.06;-0.289;0.599;-0.565;0.565;-0.571;0.571;-0.484;-0.024;0.599;-0.135;-0.14;0.599;-0.124;-0.152;0.599;-0.065;-0.273;0.599;-0.393;-0.038;0.599;-0.401;-0.037;0.599;-0.515;-0.02;0.599;-0.05;-0.329;0.599;-0.059;-0.292;0.599;-0.488;-0.024;0.599;-0.063;-0.279;0.599;-0.428;-0.033;0.599;-0.105;-0.179;0.599;-0.063;-0.28;0.599;-0.049;-0.334;0.599;0.942;-0.599;-0.012;-0.01;-0.018;-0.01;-0.029;-0.026;-0.014;-0.377;-0.005;-0.024;-0.005;1.0;-0.05;1.0;-0.261;-0.036;-0.007;-0.014;-0.028;-0.01;-0.161;-0.007;-0.031;0.87;-0.027;-0.071;-0.046;-0.036;-0.015;-0.036;0.715;-0.029;-0.048;-0.021;-0.139;-0.065;-0.012;0.076;0.08;-0.053;-0.005;0.213;0.184;-0.034;-0.142;-0.009;-0.497;0.849;-0.01;-0.032;-0.039;0.571;-0.377;-0.005;0.061;-0.06;-0.036;0.018;-0.085;-0.222;0.87;-0.02;0.302;-0.264;-0.029;-0.007;-0.005;0.082;-0.005;-0.005;-0.009;0.087;-0.131;-0.005;-0.007;-0.009;-0.017;0.075;-0.007;-0.013;-0.005;0.091;-0.009;0.171;-0.005;-0.009;-0.013;0.171;-0.007;-0.005;-0.007;-0.007;-0.007
index__concept:name_2_ER Sepsis Triage;0.015;0.022;0.022;-0.026;-0.014;0.02;-0.001;-0.044;0.002;0.014;-0.004;-0.016;0.201;-0.01;-0.396;0.078;0.166;-0.396;0.097;0.125;-0.396;0.087;0.172;-0.396;0.075;0.16;-0.396;0.374;-0.374;0.381;-0.381;0.341;-0.019;-0.396;0.065;0.117;-0.396;0.057;0.125;-0.396;0.109;0.121;-0.396;0.327;-0.064;-0.396;0.272;0.014;-0.396;0.355;-0.016;-0.396;0.075;0.183;-0.396;0.089;0.149;-0.396;0.346;-0.024;-0.396;0.082;0.148;-0.396;0.301;-0.004;-0.396;0.15;0.04;-0.396;-0.003;0.225;-0.396;0.079;0.182;-0.396;-0.277;0.396;-0.145;-0.002;-0.226;-0.13;-0.361;-0.269;-0.172;0.647;-0.065;-0.263;-0.065;-0.261;-0.623;-0.261;1.0;-0.441;-0.091;-0.172;-0.342;-0.13;0.555;-0.091;-0.385;-0.3;0.07;0.24;-0.571;-0.369;0.027;0.025;-0.342;-0.329;0.041;-0.005;0.458;-0.339;0.007;0.03;-0.005;-0.66;-0.065;-0.087;-0.146;0.032;0.469;0.035;0.165;-0.307;-0.002;0.033;-0.422;-0.457;0.647;-0.065;0.812;-0.747;-0.441;0.096;0.037;0.054;-0.3;0.053;-0.143;0.276;-0.329;-0.032;0.02;-0.011;0.02;0.02;0.035;-0.652;0.572;-0.065;0.028;0.035;-0.017;0.027;0.028;0.049;0.02;-0.159;0.035;-0.032;-0.065;0.035;0.015;-0.032;-0.032;0.02;-0.032;0.028;0.028
index__concept:name_2_ER Triage;-0.045;0.041;-0.008;-0.011;0.114;-0.018;-0.041;0.071;-0.032;-0.04;-0.031;-0.013;-0.129;-0.094;0.452;-0.078;-0.199;0.452;-0.101;-0.151;0.452;-0.086;-0.208;0.452;-0.086;-0.183;0.452;-0.423;0.423;-0.452;0.452;-0.372;-0.007;0.452;-0.127;-0.08;0.452;-0.12;-0.089;0.452;-0.079;-0.179;0.452;-0.338;0.026;0.452;-0.329;0.008;0.452;-0.401;0.009;0.452;-0.085;-0.209;0.452;-0.1;-0.171;0.452;-0.376;-0.005;0.452;-0.091;-0.172;0.452;-0.302;-0.055;0.452;-0.094;-0.12;0.452;-0.075;-0.187;0.452;-0.083;-0.214;0.452;-0.001;-0.452;0.259;-0.018;0.511;0.294;-0.049;0.632;0.212;-0.637;-0.009;0.612;-0.009;-0.036;-0.085;-0.036;-0.441;1.0;-0.012;-0.023;-0.047;-0.018;-0.193;-0.012;0.819;-0.041;-0.015;-0.063;-0.078;-0.061;-0.025;0.206;-0.047;-0.049;0.181;0.082;-0.156;-0.11;-0.02;-0.063;0.19;-0.09;-0.009;0.018;-0.044;0.167;-0.139;-0.015;-0.052;0.126;-0.018;-0.027;0.893;-0.062;-0.637;0.147;-0.433;-0.102;1.0;-0.049;0.319;-0.29;-0.041;0.009;0.169;-0.111;-0.049;-0.012;-0.009;-0.023;-0.009;-0.009;-0.015;-0.091;0.125;-0.009;-0.012;-0.015;-0.028;-0.025;-0.012;-0.022;-0.009;-0.022;-0.015;-0.012;-0.009;-0.015;-0.022;-0.012;-0.012;-0.009;-0.012;-0.012;-0.012
index__concept:name_2_IV Antibiotics;-0.017;0.041;-0.009;-0.015;-0.012;0.091;-0.008;-0.006;-0.007;-0.008;-0.006;-0.041;-0.071;0.08;-0.012;-0.02;0.024;-0.012;-0.024;0.028;-0.012;-0.018;0.023;-0.012;-0.021;0.026;-0.012;0.013;-0.013;0.013;-0.013;0.015;-0.008;-0.012;0.004;0.002;-0.012;0.06;-0.053;-0.012;-0.023;0.027;-0.012;0.019;-0.013;-0.012;0.018;-0.013;-0.012;0.014;-0.007;-0.012;-0.018;0.022;-0.012;-0.021;0.025;-0.012;0.015;-0.008;-0.012;-0.022;0.026;-0.012;0.017;-0.011;-0.012;-0.037;0.041;-0.012;0.048;-0.036;-0.012;-0.017;0.022;-0.012;-0.008;0.012;-0.004;-0.004;-0.006;-0.004;-0.01;-0.009;0.533;-0.132;-0.002;-0.008;-0.002;-0.007;-0.018;-0.007;-0.091;-0.012;1.0;-0.005;-0.01;-0.004;-0.056;-0.003;-0.011;0.305;-0.009;-0.025;-0.016;-0.013;-0.005;0.12;-0.01;-0.01;-0.017;-0.007;-0.049;-0.023;-0.004;-0.013;-0.019;-0.019;-0.002;-0.006;-0.009;0.123;-0.05;-0.003;0.015;-0.009;-0.004;-0.011;0.19;-0.013;-0.132;-0.002;0.029;-0.021;-0.012;-0.01;-0.03;-0.078;0.305;-0.007;-0.021;0.026;-0.01;-0.003;-0.002;-0.005;-0.002;-0.002;-0.003;-0.022;0.029;-0.002;-0.003;-0.003;-0.006;-0.005;-0.003;-0.004;-0.002;-0.004;-0.003;-0.003;-0.002;-0.003;-0.004;-0.003;-0.003;-0.002;-0.003;-0.003;-0.003
index__concept:name_2_IV Liquid;-0.032;0.06;-0.016;-0.028;-0.023;0.087;-0.016;-0.011;-0.012;-0.016;-0.012;-0.02;-0.017;-0.0;0.036;-0.037;0.01;0.036;-0.045;0.021;0.036;-0.033;0.005;0.036;-0.039;0.014;0.036;-0.032;0.032;-0.033;0.033;-0.12;0.152;0.036;-0.007;-0.01;0.036;-0.026;0.009;0.036;-0.043;0.018;0.036;-0.091;0.086;0.036;-0.05;0.033;0.036;-0.025;-0.013;0.036;-0.033;0.005;0.036;-0.039;0.013;0.036;-0.071;0.07;0.036;-0.041;0.016;0.036;-0.057;0.043;0.036;-0.04;0.022;0.036;-0.041;0.016;0.036;-0.032;0.004;0.036;-0.015;-0.036;0.163;-0.007;-0.012;-0.007;-0.019;-0.017;0.135;-0.045;0.376;-0.016;-0.003;-0.014;-0.033;-0.014;-0.172;-0.023;-0.005;1.0;-0.018;-0.007;-0.023;0.264;0.113;-0.016;0.058;-0.046;-0.03;-0.024;-0.01;0.035;-0.018;0.122;-0.032;-0.014;-0.009;-0.043;-0.008;-0.025;0.045;-0.035;-0.003;-0.011;-0.017;0.038;-0.011;-0.006;0.028;-0.016;-0.007;-0.021;0.083;-0.024;-0.045;-0.003;0.054;-0.04;-0.023;-0.019;0.07;-0.057;-0.016;-0.013;-0.039;-0.019;0.122;-0.005;-0.003;-0.009;-0.003;-0.003;-0.006;-0.041;0.054;-0.003;-0.005;-0.006;-0.011;-0.01;-0.005;-0.008;-0.003;-0.008;-0.006;-0.005;-0.003;-0.006;-0.008;-0.005;-0.005;-0.003;-0.005;-0.005;-0.005
