;static__Age;index__CRP_0;index__Leucocytes_0;index__hour_0;index__day_0;index__month_0;index__timesincemidnight_0;index__OrderOfEvent_0;index__openCases_0;index__remainingtime_0;index__CRP_1;index__LacticAcid_1;index__Leucocytes_1;index__hour_1;index__day_1;index__month_1;index__timesincemidnight_1;index__timesincelast_1;index__timesincestart_1;index__OrderOfEvent_1;index__openCases_1;index__remainingtime_1;index__CRP_2;index__LacticAcid_2;index__Leucocytes_2;index__hour_2;index__day_2;index__month_2;index__timesincemidnight_2;index__timesincelast_2;index__timesincestart_2;index__OrderOfEvent_2;index__openCases_2;index__remainingtime_2;index__CRP_3;index__LacticAcid_3;index__Leucocytes_3;index__hour_3;index__day_3;index__month_3;index__timesincemidnight_3;index__timesincelast_3;index__timesincestart_3;index__OrderOfEvent_3;index__openCases_3;index__remainingtime_3;index__CRP_4;index__LacticAcid_4;index__Leucocytes_4;index__hour_4;index__day_4;index__month_4;index__timesincemidnight_4;index__timesincelast_4;index__timesincestart_4;index__OrderOfEvent_4;index__openCases_4;index__remainingtime_4;index__CRP_5;index__LacticAcid_5;index__Leucocytes_5;index__hour_5;index__day_5;index__month_5;index__timesincemidnight_5;index__timesincelast_5;index__timesincestart_5;index__OrderOfEvent_5;index__openCases_5;index__remainingtime_5;encoded_label
index__day_3;0.013;0.046;0.048;-0.006;1.0;0.023;-0.005;0.041;-0.02;0.026;0.031;0.029;0.022;-0.013;1.0;0.023;-0.014;0.006;0.003;-0.031;-0.02;0.026;0.089;0.028;0.043;-0.002;1.0;0.023;-0.001;0.025;0.021;0.017;-0.02;0.026;0.024;-0.007;-0.055;0.005;1.0;0.023;0.005;-0.008;0.024;-0.037;-0.02;0.026;0.083;-0.033;-0.003;0.004;1.0;0.023;0.003;0.029;0.032;0.014;-0.02;0.025;0.071;0.003;-0.018;-0.007;1.0;0.023;-0.01;-0.025;-0.012;0.016;-0.02;0.026;0.047
index__month_3;0.035;-0.007;0.027;-0.096;0.024;1.0;-0.095;0.038;0.213;-0.002;-0.052;0.009;0.023;-0.077;0.024;1.0;-0.078;0.001;-0.002;-0.015;0.213;-0.002;0.056;-0.043;0.016;-0.057;0.023;1.0;-0.058;0.018;0.017;-0.01;0.213;-0.002;0.043;0.024;0.034;-0.053;0.023;1.0;-0.052;-0.013;0.004;0.045;0.213;-0.002;0.035;0.054;0.001;-0.065;0.023;1.0;-0.063;-0.053;-0.009;0.01;0.213;-0.002;-0.017;0.061;0.039;-0.08;0.024;1.0;-0.079;-0.019;-0.02;-0.051;0.213;-0.002;-0.014
index__timesincemidnight_3;-0.098;0.03;0.063;0.895;0.008;-0.052;0.894;0.059;-0.017;-0.042;-0.015;-0.07;-0.006;0.95;0.006;-0.052;0.95;0.053;0.051;-0.074;-0.018;-0.042;-0.025;-0.023;0.023;0.985;0.006;-0.052;0.987;0.082;0.093;0.014;-0.018;-0.042;0.043;-0.005;-0.056;0.999;0.005;-0.052;1.0;-0.002;0.107;0.017;-0.018;-0.042;0.004;-0.035;-0.074;0.985;0.006;-0.052;0.986;-0.004;0.091;-0.029;-0.018;-0.042;0.029;-0.053;-0.023;0.92;0.006;-0.052;0.921;-0.037;-0.004;-0.0;-0.017;-0.042;-0.09
index__timesincelast_3;0.003;0.081;0.076;-0.043;-0.009;-0.013;-0.041;0.092;0.008;-0.044;-0.033;-0.021;0.024;-0.055;-0.008;-0.013;-0.053;-0.023;-0.025;-0.085;0.008;-0.044;-0.004;-0.08;-0.004;-0.039;-0.009;-0.013;-0.037;0.071;0.042;-0.061;0.008;-0.044;-0.018;0.127;0.109;-0.001;-0.008;-0.013;-0.002;1.0;0.217;0.216;0.009;-0.044;-0.152;-0.095;-0.023;0.034;-0.009;-0.013;0.031;0.365;0.342;-0.189;0.008;-0.044;-0.1;-0.075;-0.014;0.021;-0.005;-0.013;0.02;0.171;0.275;-0.004;0.01;-0.045;-0.015
index__timesincestart_3;-0.125;0.461;0.713;-0.104;0.024;0.004;-0.103;0.568;0.063;-0.044;0.083;-0.032;0.507;-0.025;0.024;0.004;-0.022;0.601;0.599;-0.293;0.063;-0.044;0.16;-0.032;0.267;0.089;0.024;0.004;0.094;0.742;0.966;-0.024;0.062;-0.045;0.04;-0.073;0.057;0.103;0.024;0.004;0.107;0.217;1.0;-0.07;0.063;-0.045;0.061;-0.12;0.041;0.113;0.024;0.004;0.115;0.091;0.952;-0.025;0.063;-0.045;0.094;-0.091;0.005;0.122;0.025;0.004;0.118;0.037;0.352;0.103;0.063;-0.045;-0.014
index__OrderOfEvent_3;-0.051;-0.072;-0.08;0.018;-0.037;0.045;0.022;-0.072;-0.014;0.03;-0.264;-0.218;-0.32;0.01;-0.037;0.045;0.012;-0.047;-0.069;-0.278;-0.014;0.03;-0.28;-0.443;-0.308;0.007;-0.037;0.045;0.01;-0.107;-0.121;-0.321;-0.014;0.03;0.282;0.453;0.305;0.014;-0.037;0.045;0.017;0.216;-0.07;1.0;-0.014;0.03;-0.258;0.218;-0.071;0.005;-0.037;0.045;0.007;-0.162;-0.123;-0.275;-0.014;0.03;-0.37;-0.123;0.087;0.016;-0.039;0.045;0.019;-0.061;-0.096;-0.537;-0.014;0.03;0.029
index__openCases_3;-0.056;-0.005;0.037;-0.057;-0.019;0.213;-0.059;0.028;1.0;-0.125;0.021;0.056;0.08;-0.046;-0.019;0.213;-0.045;0.02;0.021;0.036;1.0;-0.125;-0.044;0.022;0.094;-0.024;-0.019;0.213;-0.023;0.069;0.062;0.03;1.0;-0.125;-0.03;-0.022;-0.066;-0.017;-0.02;0.213;-0.018;0.009;0.063;-0.014;1.0;-0.125;-0.005;0.002;0.067;-0.006;-0.02;0.213;-0.006;0.017;0.063;0.041;1.0;-0.125;-0.052;-0.034;-0.075;-0.024;-0.019;0.213;-0.023;0.045;0.063;-0.052;1.0;-0.126;0.046
index__remainingtime_3;0.06;-0.049;-0.035;-0.001;0.025;-0.002;-0.001;-0.052;-0.125;1.0;-0.048;0.034;-0.027;-0.03;0.026;-0.002;-0.033;0.02;0.015;0.042;-0.125;1.0;-0.082;-0.036;-0.066;-0.04;0.026;-0.002;-0.043;-0.061;-0.034;-0.033;-0.126;1.0;-0.026;-0.023;0.009;-0.041;0.026;-0.002;-0.042;-0.044;-0.045;0.03;-0.125;1.0;-0.066;0.039;0.041;-0.042;0.025;-0.002;-0.042;-0.024;-0.053;0.014;-0.125;1.0;-0.083;-0.045;0.016;-0.034;0.025;-0.002;-0.033;-0.027;-0.041;-0.037;-0.125;1.0;-0.021
index__CRP_4;-0.059;0.185;0.1;-0.026;0.083;0.035;-0.025;0.1;-0.005;-0.066;0.228;-0.01;0.115;-0.005;0.083;0.035;-0.005;0.027;0.036;-0.028;-0.006;-0.066;0.354;0.01;0.019;0.004;0.083;0.035;0.003;0.064;0.075;-0.031;-0.006;-0.066;0.537;-0.217;-0.008;0.003;0.083;0.035;0.004;-0.152;0.061;-0.258;-0.005;-0.066;1.0;0.088;0.217;0.005;0.083;0.035;0.006;0.075;0.059;0.39;-0.006;-0.066;0.419;-0.009;0.029;0.006;0.082;0.035;0.004;-0.067;-0.044;-0.113;-0.006;-0.066;-0.025
index__LacticAcid_4;0.008;-0.104;-0.123;-0.04;-0.032;0.054;-0.037;-0.112;0.002;0.039;-0.016;0.038;-0.068;-0.034;-0.033;0.054;-0.034;-0.081;-0.08;0.093;0.002;0.039;-0.084;0.11;-0.105;-0.043;-0.033;0.054;-0.045;-0.116;-0.144;-0.041;0.002;0.039;0.198;0.388;0.08;-0.035;-0.033;0.054;-0.035;-0.095;-0.12;0.218;0.002;0.039;0.088;1.0;0.099;-0.04;-0.033;0.054;-0.04;-0.016;-0.153;0.214;0.003;0.039;-0.207;0.249;0.093;-0.068;-0.034;0.054;-0.067;-0.136;-0.179;-0.503;0.003;0.04;-0.033
index__Leucocytes_4;-0.028;0.033;0.082;-0.099;-0.002;0.001;-0.099;0.064;0.067;0.041;0.073;0.057;0.131;-0.084;-0.002;0.001;-0.085;-0.004;0.003;0.033;0.068;0.041;0.248;0.166;0.326;-0.068;-0.003;0.001;-0.069;0.063;0.055;0.186;0.067;0.041;0.11;-0.01;0.273;-0.074;-0.003;0.001;-0.074;-0.023;0.041;-0.071;0.067;0.041;0.217;0.099;1.0;-0.069;-0.003;0.001;-0.07;0.089;0.034;0.277;0.067;0.041;-0.012;-0.201;0.268;-0.055;-0.003;0.001;-0.059;0.017;0.033;-0.284;0.067;0.041;-0.042
index__hour_4;-0.101;0.029;0.064;0.882;0.007;-0.065;0.882;0.059;-0.006;-0.042;-0.011;-0.069;-0.002;0.937;0.005;-0.065;0.938;0.052;0.05;-0.072;-0.006;-0.042;-0.019;-0.021;0.03;0.97;0.005;-0.065;0.97;0.081;0.092;0.02;-0.006;-0.042;0.037;-0.01;-0.058;0.986;0.004;-0.065;0.985;0.034;0.113;0.005;-0.006;-0.042;0.005;-0.04;-0.069;1.0;0.004;-0.065;0.999;0.055;0.116;-0.025;-0.006;-0.042;0.032;-0.057;-0.029;0.934;0.005;-0.065;0.933;-0.013;0.026;0.003;-0.005;-0.042;-0.089
index__day_4;0.013;0.046;0.048;-0.006;1.0;0.023;-0.005;0.041;-0.02;0.025;0.031;0.029;0.022;-0.013;1.0;0.023;-0.013;0.006;0.003;-0.031;-0.02;0.025;0.089;0.028;0.043;-0.002;1.0;0.023;-0.0;0.025;0.021;0.017;-0.02;0.025;0.024;-0.007;-0.056;0.005;1.0;0.023;0.006;-0.009;0.024;-0.037;-0.02;0.025;0.083;-0.033;-0.003;0.004;1.0;0.023;0.003;0.029;0.032;0.014;-0.02;0.025;0.071;0.003;-0.018;-0.007;1.0;0.023;-0.01;-0.025;-0.012;0.016;-0.02;0.025;0.047
index__month_4;0.035;-0.007;0.027;-0.096;0.024;1.0;-0.095;0.038;0.213;-0.002;-0.052;0.009;0.023;-0.077;0.024;1.0;-0.078;0.001;-0.002;-0.015;0.213;-0.002;0.056;-0.043;0.016;-0.057;0.023;1.0;-0.058;0.018;0.017;-0.01;0.213;-0.002;0.043;0.024;0.034;-0.053;0.023;1.0;-0.052;-0.013;0.004;0.045;0.213;-0.002;0.035;0.054;0.001;-0.065;0.023;1.0;-0.063;-0.053;-0.009;0.01;0.213;-0.002;-0.017;0.061;0.039;-0.08;0.024;1.0;-0.079;-0.019;-0.02;-0.051;0.213;-0.002;-0.014
index__timesincemidnight_4;-0.103;0.03;0.064;0.882;0.005;-0.063;0.882;0.059;-0.006;-0.042;-0.012;-0.069;-0.003;0.938;0.004;-0.063;0.938;0.054;0.052;-0.073;-0.006;-0.042;-0.02;-0.023;0.028;0.97;0.003;-0.063;0.971;0.082;0.094;0.019;-0.006;-0.042;0.037;-0.01;-0.056;0.985;0.003;-0.063;0.986;0.031;0.115;0.007;-0.006;-0.042;0.006;-0.04;-0.07;0.999;0.003;-0.063;1.0;0.056;0.117;-0.024;-0.006;-0.042;0.03;-0.058;-0.028;0.933;0.004;-0.063;0.934;-0.016;0.024;0.001;-0.006;-0.042;-0.089
index__timesincelast_4;0.044;-0.032;-0.036;0.001;0.028;-0.053;0.004;-0.033;0.017;-0.024;0.009;-0.017;-0.027;0.005;0.028;-0.053;0.008;-0.027;-0.025;0.008;0.017;-0.024;0.047;-0.005;0.007;-0.034;0.029;-0.053;-0.032;-0.031;-0.034;0.05;0.017;-0.024;-0.038;-0.138;-0.008;-0.002;0.029;-0.053;-0.004;0.365;0.091;-0.162;0.017;-0.024;0.075;-0.016;0.089;0.055;0.029;-0.053;0.056;1.0;0.348;0.186;0.015;-0.024;-0.051;-0.178;-0.029;0.034;0.034;-0.053;0.036;0.264;0.361;-0.068;0.014;-0.025;-0.017
index__timesincestart_4;-0.107;0.425;0.664;-0.098;0.032;-0.009;-0.096;0.524;0.063;-0.052;0.087;-0.03;0.476;-0.023;0.032;-0.009;-0.018;0.562;0.562;-0.267;0.063;-0.052;0.162;-0.034;0.266;0.068;0.033;-0.009;0.073;0.685;0.897;-0.003;0.063;-0.053;-0.006;-0.104;0.043;0.088;0.032;-0.009;0.091;0.342;0.952;-0.123;0.063;-0.053;0.059;-0.153;0.034;0.116;0.032;-0.009;0.117;0.348;1.0;-0.002;0.062;-0.053;0.084;-0.099;-0.014;0.121;0.034;-0.009;0.117;0.125;0.448;0.133;0.063;-0.053;-0.01
index__OrderOfEvent_4;-0.021;0.004;0.001;-0.039;0.014;0.01;-0.04;0.004;0.041;0.014;-0.01;-0.008;-0.007;-0.027;0.014;0.01;-0.026;-0.008;-0.009;-0.01;0.041;0.014;-0.199;-0.15;-0.259;-0.038;0.014;0.01;-0.036;-0.012;-0.026;-0.315;0.041;0.014;-0.036;-0.472;-0.131;-0.03;0.014;0.01;-0.029;-0.189;-0.025;-0.275;0.041;0.014;0.39;0.214;0.277;-0.025;0.014;0.01;-0.024;0.186;-0.002;1.0;0.041;0.014;-0.187;-0.204;-0.106;-0.056;0.014;0.01;-0.054;-0.075;-0.064;-0.292;0.041;0.014;-0.032
index__openCases_4;-0.056;-0.005;0.037;-0.057;-0.019;0.213;-0.059;0.028;1.0;-0.125;0.021;0.056;0.08;-0.046;-0.02;0.213;-0.045;0.02;0.021;0.036;1.0;-0.125;-0.044;0.022;0.094;-0.023;-0.02;0.213;-0.023;0.069;0.062;0.03;1.0;-0.125;-0.03;-0.022;-0.066;-0.017;-0.02;0.213;-0.018;0.008;0.063;-0.014;1.0;-0.125;-0.006;0.003;0.067;-0.006;-0.02;0.213;-0.006;0.015;0.062;0.041;1.0;-0.125;-0.052;-0.034;-0.075;-0.024;-0.019;0.213;-0.023;0.045;0.063;-0.052;1.0;-0.125;0.046
index__remainingtime_4;0.06;-0.049;-0.035;-0.001;0.025;-0.002;-0.001;-0.052;-0.125;1.0;-0.048;0.034;-0.027;-0.03;0.026;-0.002;-0.033;0.02;0.015;0.042;-0.125;1.0;-0.082;-0.036;-0.066;-0.04;0.026;-0.002;-0.043;-0.061;-0.034;-0.033;-0.126;1.0;-0.026;-0.023;0.009;-0.041;0.025;-0.002;-0.042;-0.044;-0.045;0.03;-0.125;1.0;-0.066;0.039;0.041;-0.042;0.025;-0.002;-0.042;-0.024;-0.053;0.014;-0.125;1.0;-0.083;-0.045;0.016;-0.034;0.025;-0.002;-0.033;-0.027;-0.041;-0.037;-0.125;1.0;-0.021
index__CRP_5;-0.052;0.213;0.125;0.01;0.071;-0.017;0.01;0.119;-0.052;-0.083;0.24;-0.012;0.132;0.012;0.071;-0.017;0.013;0.054;0.063;-0.039;-0.052;-0.083;0.539;0.156;0.233;0.036;0.071;-0.017;0.034;0.105;0.127;0.188;-0.052;-0.083;0.316;-0.042;-0.144;0.03;0.071;-0.017;0.029;-0.1;0.094;-0.37;-0.052;-0.083;0.419;-0.207;-0.012;0.032;0.071;-0.017;0.03;-0.051;0.084;-0.187;-0.052;-0.083;1.0;0.143;0.057;0.053;0.07;-0.017;0.05;-0.03;-0.002;0.427;-0.053;-0.083;-0.028
index__LacticAcid_5;0.039;-0.028;-0.087;-0.05;0.003;0.061;-0.048;-0.083;-0.034;-0.045;0.05;0.069;-0.008;-0.047;0.003;0.061;-0.048;-0.02;-0.016;0.114;-0.034;-0.045;0.154;0.245;0.073;-0.048;0.003;0.061;-0.049;-0.061;-0.048;0.136;-0.034;-0.045;-0.085;0.412;-0.097;-0.054;0.003;0.061;-0.053;-0.075;-0.091;-0.123;-0.034;-0.045;-0.009;0.249;-0.201;-0.057;0.003;0.061;-0.058;-0.178;-0.099;-0.204;-0.034;-0.045;0.143;1.0;0.034;-0.075;0.002;0.061;-0.077;-0.097;-0.132;0.362;-0.034;-0.045;0.015
index__Leucocytes_5;0.026;0.007;0.016;-0.041;-0.017;0.039;-0.042;0.007;-0.075;0.016;0.025;0.007;0.032;-0.031;-0.018;0.039;-0.031;-0.007;-0.006;0.004;-0.075;0.016;0.09;0.045;0.146;-0.024;-0.018;0.039;-0.025;0.001;-0.003;0.06;-0.075;0.016;0.135;0.096;0.736;-0.024;-0.018;0.039;-0.023;-0.014;0.005;0.087;-0.075;0.016;0.029;0.093;0.268;-0.029;-0.018;0.039;-0.028;-0.029;-0.014;-0.106;-0.075;0.016;0.057;0.034;1.0;-0.035;-0.018;0.039;-0.035;-0.019;-0.025;-0.033;-0.075;0.016;-0.02
index__hour_5;-0.091;0.047;0.079;0.826;-0.005;-0.08;0.827;0.071;-0.023;-0.034;-0.005;-0.071;0.012;0.881;-0.006;-0.08;0.881;0.049;0.047;-0.081;-0.024;-0.034;0.014;-0.028;0.046;0.909;-0.007;-0.08;0.909;0.106;0.111;0.016;-0.023;-0.034;0.045;-0.017;-0.043;0.922;-0.007;-0.08;0.92;0.021;0.122;0.016;-0.024;-0.034;0.006;-0.068;-0.055;0.934;-0.007;-0.08;0.933;0.034;0.121;-0.056;-0.024;-0.034;0.053;-0.075;-0.035;1.0;-0.009;-0.08;0.999;0.024;0.061;0.01;-0.023;-0.034;-0.09
index__day_5;0.014;0.045;0.048;-0.005;1.0;0.024;-0.004;0.04;-0.019;0.025;0.031;0.029;0.021;-0.013;1.0;0.024;-0.013;0.007;0.003;-0.031;-0.019;0.025;0.089;0.028;0.042;-0.001;1.0;0.024;0.0;0.025;0.021;0.018;-0.019;0.025;0.022;-0.008;-0.056;0.006;1.0;0.024;0.006;-0.005;0.025;-0.039;-0.019;0.025;0.082;-0.034;-0.003;0.005;1.0;0.024;0.004;0.034;0.034;0.014;-0.019;0.025;0.07;0.002;-0.018;-0.009;1.0;0.024;-0.012;-0.011;0.002;0.017;-0.019;0.025;0.047
index__month_5;0.035;-0.007;0.027;-0.096;0.024;1.0;-0.095;0.038;0.213;-0.002;-0.052;0.009;0.023;-0.077;0.024;1.0;-0.078;0.001;-0.002;-0.015;0.213;-0.002;0.056;-0.043;0.016;-0.057;0.023;1.0;-0.058;0.018;0.017;-0.01;0.213;-0.002;0.043;0.024;0.034;-0.053;0.023;1.0;-0.052;-0.013;0.004;0.045;0.213;-0.002;0.035;0.054;0.001;-0.065;0.023;1.0;-0.063;-0.053;-0.009;0.01;0.213;-0.002;-0.017;0.061;0.039;-0.08;0.024;1.0;-0.079;-0.019;-0.02;-0.051;0.213;-0.002;-0.014
index__timesincemidnight_5;-0.091;0.042;0.075;0.827;-0.008;-0.079;0.828;0.069;-0.023;-0.033;-0.007;-0.071;0.008;0.882;-0.009;-0.079;0.882;0.046;0.044;-0.08;-0.023;-0.033;0.008;-0.033;0.042;0.909;-0.009;-0.079;0.909;0.103;0.106;0.012;-0.023;-0.033;0.043;-0.018;-0.043;0.92;-0.01;-0.079;0.921;0.02;0.118;0.019;-0.023;-0.033;0.004;-0.067;-0.059;0.933;-0.01;-0.079;0.934;0.036;0.117;-0.054;-0.023;-0.033;0.05;-0.077;-0.035;0.999;-0.012;-0.079;1.0;0.019;0.056;0.008;-0.023;-0.033;-0.09
index__timesincelast_5;0.057;0.004;0.0;-0.032;-0.026;-0.019;-0.031;0.002;0.046;-0.027;-0.012;-0.019;-0.01;-0.032;-0.026;-0.019;-0.03;-0.007;-0.009;-0.023;0.045;-0.027;0.007;-0.019;-0.004;-0.043;-0.025;-0.019;-0.041;0.016;0.007;0.003;0.045;-0.027;-0.056;-0.065;0.013;-0.034;-0.025;-0.019;-0.037;0.171;0.037;-0.061;0.045;-0.027;-0.067;-0.136;0.017;-0.013;-0.025;-0.019;-0.016;0.264;0.125;-0.075;0.045;-0.027;-0.03;-0.097;-0.019;0.024;-0.011;-0.019;0.019;1.0;0.942;0.08;0.043;-0.029;-0.007
index__timesincestart_5;0.018;0.147;0.224;-0.062;-0.012;-0.02;-0.06;0.178;0.063;-0.04;0.02;-0.026;0.153;-0.037;-0.013;-0.02;-0.034;0.184;0.182;-0.109;0.063;-0.04;0.063;-0.026;0.089;-0.017;-0.012;-0.02;-0.013;0.245;0.309;0.004;0.063;-0.041;-0.057;-0.095;0.031;-0.002;-0.012;-0.02;-0.004;0.275;0.352;-0.096;0.063;-0.041;-0.044;-0.179;0.033;0.026;-0.012;-0.02;0.024;0.361;0.448;-0.064;0.063;-0.041;-0.002;-0.132;-0.025;0.061;0.002;-0.02;0.056;0.942;1.0;0.112;0.061;-0.043;-0.011
index__OrderOfEvent_5;0.04;0.134;0.094;0.001;0.016;-0.051;-0.001;0.096;-0.052;-0.036;0.095;0.044;0.121;-0.009;0.016;-0.051;-0.01;0.076;0.081;0.004;-0.052;-0.037;0.156;0.095;0.132;0.012;0.016;-0.051;0.012;0.124;0.153;0.095;-0.052;-0.037;-0.3;-0.188;-0.294;0.0;0.016;-0.051;-0.0;-0.004;0.103;-0.537;-0.052;-0.037;-0.113;-0.503;-0.284;0.003;0.016;-0.051;0.001;-0.068;0.133;-0.292;-0.052;-0.037;0.427;0.362;-0.033;0.01;0.017;-0.051;0.008;0.08;0.112;1.0;-0.052;-0.037;0.019
index__openCases_5;-0.057;-0.004;0.037;-0.057;-0.019;0.213;-0.058;0.028;1.0;-0.125;0.021;0.056;0.081;-0.045;-0.019;0.213;-0.045;0.02;0.021;0.036;1.0;-0.125;-0.045;0.022;0.095;-0.023;-0.019;0.213;-0.023;0.069;0.063;0.03;1.0;-0.125;-0.031;-0.023;-0.066;-0.016;-0.02;0.213;-0.017;0.01;0.063;-0.014;1.0;-0.125;-0.006;0.003;0.067;-0.005;-0.02;0.213;-0.006;0.014;0.063;0.041;1.0;-0.125;-0.053;-0.034;-0.075;-0.023;-0.019;0.213;-0.023;0.043;0.061;-0.052;1.0;-0.125;0.046
index__remainingtime_5;0.06;-0.049;-0.035;-0.001;0.025;-0.002;-0.001;-0.052;-0.125;1.0;-0.048;0.034;-0.027;-0.03;0.026;-0.002;-0.033;0.02;0.015;0.042;-0.126;1.0;-0.082;-0.036;-0.066;-0.04;0.026;-0.002;-0.043;-0.061;-0.034;-0.033;-0.126;1.0;-0.026;-0.023;0.009;-0.041;0.026;-0.002;-0.042;-0.045;-0.045;0.03;-0.126;1.0;-0.066;0.04;0.041;-0.042;0.025;-0.002;-0.042;-0.025;-0.053;0.014;-0.125;1.0;-0.083;-0.045;0.016;-0.034;0.025;-0.002;-0.033;-0.029;-0.043;-0.037;-0.125;1.0;-0.021
encoded_label;0.018;-0.006;-0.007;-0.091;0.047;-0.014;-0.09;-0.006;0.044;-0.021;-0.008;-0.006;-0.011;-0.087;0.047;-0.014;-0.089;0.002;0.002;-0.004;0.046;-0.021;-0.016;-0.013;-0.015;-0.088;0.047;-0.014;-0.089;-0.009;-0.006;-0.013;0.046;-0.021;0.012;-0.013;0.0;-0.089;0.047;-0.014;-0.09;-0.015;-0.014;0.029;0.046;-0.021;-0.025;-0.033;-0.042;-0.089;0.047;-0.014;-0.089;-0.017;-0.01;-0.032;0.046;-0.021;-0.028;0.015;-0.02;-0.09;0.047;-0.014;-0.09;-0.007;-0.011;0.019;0.046;-0.021;1.0
